,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0002,3,0.001,1024,500,200,tanh,0.014207211639577388,1,50,tanh,0.15983171284334474,100,100,0.8922923808470641,0.9420582986317668,0.28149596978572855,0.8627532365150631,0.0342605429952193,0.0051669316375199115,0.003382912866025767,0.0051669316375199115,1.3572762746239084,0.3958779814674518,0.05635369335732251,551.1396682262421
0,1000,0.0002,4,0.001,512,150,400,tanh,0.12241914454448428,4,500,tanh,0.012045094325853968,100,100,0.8971580227800509,0.9439083232810616,0.3735243441195127,0.8872526227697727,0.13106006378786417,0.138235294117647,0.0489308747485262,0.138235294117647,1.2465622244218904,0.28464137039714915,0.03863533363508636,989.5349812507629
0,1000,0.0002,1,0.001,512,500,100,relu,0.09326215457126126,2,100,leaky_relu,0.07374503413219283,100,100,0.8865420767444432,0.9393688689280227,0.1809202996014798,0.8761060139936293,0.07008270706534303,0.1395601483836778,0.022498348870688467,0.1395601483836778,1.3290248421571973,0.322495808825796,0.05498388417274861,877.6682260036469
0,1000,0.001,1,0.0001,512,400,50,relu,0.0635966358787952,3,50,elu,0.018788102151688336,100,100,0.8790224483025545,0.9338333131728559,0.2591935759511771,0.8569836164926441,0.08441125334347954,0.09954954954954964,0.019999969564436615,0.09954954954954964,1.283402729422243,0.3254775446698227,0.04210346587068844,900.0031175613403
0,1000,0.0002,4,0.001,512,300,50,elu,0.14703880442451897,5,150,leaky_relu,0.19054980230339702,100,100,0.8937299568727193,0.9408578989476275,0.42532622432144046,0.8343124454760995,0.11287901702271896,0.055621372461293506,0.055621372461293506,0.030683624801271958,1.280538464539165,0.3075822436197799,0.04385851773678003,1014.5439915657043
0,1000,0.0002,2,0.0001,512,450,350,relu,0.08477100971163594,4,50,leaky_relu,0.08575374018915323,100,100,0.8954992812119872,0.9418425749276879,0.43513598338056153,0.8896766503356364,0.13763228499881153,0.05970620550701078,0.05970620550701078,0.03740063593004761,1.2346171675277051,0.3339404165193899,0.045536717813643754,955.2815463542938
0,1000,0.001,3,0.001,512,450,200,leaky_relu,0.020045377462460226,5,400,elu,0.12311191285676884,100,100,0.8939511224151278,0.9427223317207191,0.3124379460478008,0.8770555732452033,0.1398574695716559,0.1902755696873344,0.06681290954854935,0.1902755696873344,1.3261337438659675,0.32756576253267616,0.05314230771559782,1001.2387065887451
0,1000,0.0002,3,0.0001,512,400,450,elu,0.14599811248481162,1,300,tanh,0.044784937612076026,100,100,0.8937299568727193,0.9425685770632881,0.3127531907606219,0.861711467508194,0.08092737389898408,0.05961844197138322,0.035649175348411055,0.05961844197138322,1.4425137031375201,0.3507076535724667,0.059342007486540345,909.2923548221588
0,1000,0.0002,1,0.001,512,500,350,relu,0.07964421244321838,2,100,elu,0.05087129635407859,100,100,0.8957204467543957,0.9437652811735942,0.3232208245340427,0.8686936635681506,0.11196430762885878,0.13282988871224166,0.05133414291931837,0.13282988871224166,1.318163484637752,0.3417884987226301,0.051701393157151464,894.6558525562286
0,1000,0.0002,4,0.0001,1024,350,250,relu,0.13261564062002015,2,50,elu,0.1662096910472381,100,100,0.8992590954329316,0.9452095988452517,0.3795248100113309,0.8819691458346401,0.12419404065689366,0.11195018547959723,0.053249681187473974,0.11195018547959723,1.2874543997237615,0.3254823827636682,0.053345232639101896,600.8663589954376
0,1000,0.0001,2,0.0001,1024,200,500,leaky_relu,0.191211862270095,4,250,relu,0.10794596450326523,100,100,0.8935087913303107,0.9417105502088251,0.3614487159953687,0.8661109026494621,0.14064466710736956,0.1025702172760996,0.0763270666508401,0.1025702172760996,1.4406370991687247,0.45357913924305937,0.06524940662978203,580.5957210063934
0,1000,0.0001,5,0.0001,512,300,300,elu,0.17659416955701063,5,200,leaky_relu,0.13545481107972857,100,100,0.8993696782041358,0.9431747221181466,0.504159469664454,0.9024619649555583,0.1616485389969584,0.08611095893329435,0.08611095893329435,0.030524642289348147,1.222431560220209,0.30578158631204816,0.033373840898574744,1111.6199073791504
0,1000,0.0001,5,0.0001,512,50,350,elu,0.1978722122410254,4,200,leaky_relu,0.12915657106156464,100,100,0.8967156916952339,0.943694236797685,0.36863145434091,0.8797854673164357,0.15468853574871355,0.15900900900900905,0.07653326759251655,0.15900900900900905,1.2736349875528936,0.3307713531635462,0.04225658994227878,1051.6495048999786
0,1000,0.0001,5,0.0001,512,250,300,elu,0.05303003510724539,5,300,leaky_relu,0.08509076270647695,100,100,0.9025765785690589,0.9462706592669391,0.4458741826080878,0.9091059796665061,0.11166662788846293,0.040162388948238203,0.040162388948238203,0.014613142554319114,1.2461759019282093,0.3043961863107127,0.03700280161834911,1095.6357798576355
0,1000,0.0001,5,0.0001,1024,250,250,elu,0.04846988695449045,5,300,leaky_relu,0.13822525743999475,100,100,0.8972686055512551,0.9437003817950427,0.3911560704693331,0.9021022403774563,0.1341741816544424,0.07724317710758666,0.07724317710758666,0.058147853736088995,1.2826575755254677,0.3379660324251269,0.043469943668605016,673.3459842205048
0,1000,0.0001,5,0.0001,512,150,300,elu,0.17007293994535305,5,400,relu,0.09248896557990212,100,100,0.8964945261528254,0.9424354243542435,0.4383038918032715,0.8865463126159281,0.19255408304831356,0.11562003179650243,0.10658267972961044,0.11562003179650243,1.2759749709256378,0.31308804893277387,0.03994944191792874,1044.625539779663
0,1000,0.0001,5,0.0001,512,300,150,elu,0.10977209882346733,3,350,leaky_relu,0.05863964304944369,100,100,0.8978215194072764,0.9447896749521989,0.3480722074092942,0.8880615000005918,0.10190683833093139,0.14560148383677796,0.02307738546336613,0.14560148383677796,1.2615302107426847,0.2899281077580457,0.03959772123602561,1010.4357640743256
0,1000,0.0001,4,0.0001,512,250,300,elu,0.035671102514822875,5,200,leaky_relu,0.15544502115968534,100,100,0.9055623133915736,0.9475043029259896,0.4874335696223515,0.9059964157748519,0.1563621574002727,0.08096184419713837,0.0547528175722769,0.08096184419713837,1.2267424568011964,0.28896473060449285,0.033579403811832886,1017.2721073627472
0,1000,0.0001,4,0.0001,1024,50,400,elu,0.026844958971283292,4,200,leaky_relu,0.1956378057048956,100,100,0.898595598805706,0.9432935501824253,0.4683700944018031,0.9031089720447011,0.2976343470868217,0.23002119766825652,0.1961754671098085,0.23002119766825652,1.2907358522300558,0.31255313511161803,0.04625905977638015,595.8646612167358
0,1000,0.0001,4,0.0001,512,200,200,tanh,0.16875569362487935,3,200,relu,0.16030531902742415,100,100,0.9024659957978547,0.9466424682395644,0.4203917058659051,0.8898880580672882,0.12107216714956937,0.08305511393746678,0.042724302492976984,0.08305511393746678,1.276865433957894,0.3300217846625041,0.04697679951026501,964.1860580444336
