,num_trees,delta,max_iters,early_stop,min_node_size,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,60,0.4,4,False,14,0.8548469648889344,0.6709976798143852,0.5821912545907915,0.9091886588435678,0.20073581465880336,0.16277611905483896,0.16277611905483896,0.08397281178160179,1.4039642076431647,0.4183270172029726,0.04826245379887807,411.34457302093506
0,50,0.5,5,True,12,0.8540280479066434,0.6535471331389698,0.5717118718287965,0.9058503904584856,0.17825708216077613,0.13257505073359616,0.13257505073359616,0.06898224193215938,1.3927783741403932,0.4151879588557699,0.05637598846055069,307.69637298583984
0,60,0.5,1,False,17,0.8490121813901116,0.6863704018711461,0.5869644651428166,0.9061989061844015,0.24048370320845924,0.1618168458864967,0.1618168458864967,0.12260523808208373,1.5271300863788224,0.5218212526515477,0.08704124638383716,156.3750433921814
0,80,0.5,5,False,17,0.8542327771522162,0.6643092880716643,0.5773769443324649,0.9079189507253445,0.19717584483670442,0.1714883021156493,0.1714883021156493,0.08104374296685013,1.447575800398405,0.44109474497109097,0.0661640985588809,570.744517326355
0,20,0.30000000000000004,1,False,10,0.8492169106356843,0.6505338078291815,0.5613142057237896,0.9032825979622737,0.220156789128574,0.2785449371369924,0.2785449371369924,0.09589057625459858,1.4365016799190051,0.45060532675070597,0.06392863614344983,91.920156955719
0,30,0.4,3,False,14,0.8535162247927116,0.6486619199607169,0.5685964479543664,0.9038883706720016,0.1918788944599185,0.21938489888269463,0.21938489888269463,0.0732266444783152,1.4411880719316794,0.4500289926448157,0.05987613077446552,240.16650462150574
0,70,0.30000000000000004,5,False,10,0.8559729757395844,0.6616975234431354,0.5792054450299138,0.9071482158239608,0.18211109162145206,0.12767080310699536,0.12767080310699536,0.07164417627111236,1.3772098452891106,0.39199015051437436,0.05157316872517373,564.1049671173096
0,70,0.0,4,False,5,0.8572013512130208,0.6608315098468271,0.581244809808246,0.9105189183315129,0.1731967852042794,0.11914522637680486,0.11914522637680486,0.06295539977433208,1.230634168924432,0.27959405556169115,0.02926856298079065,557.0501570701599
0,40,0.2,3,True,4,0.8588391851776026,0.6722129783693843,0.5896245076120882,0.9104775914460945,0.1678786033390211,0.07174138695155241,0.07174138695155241,0.05976390169329866,1.1870881388892462,0.2516615707824296,0.0233110386836338,255.17141604423523
0,30,0.0,4,True,7,0.853618589415498,0.6515594541910331,0.5700237941926765,0.908815421812238,0.18928841748393774,0.18650719600662452,0.18650719600662452,0.07429829389102917,1.3294883777772466,0.35050458212947305,0.04417675725224681,283.71980452537537
0,100,0.1,2,True,3,0.8582249974408844,0.6729634002361276,0.5889039946495588,0.9113967692966337,0.180462991444228,0.11475123043549251,0.11475123043549251,0.0674825702343589,1.1483396326314823,0.2294033748596297,0.020354079630531617,652.3557748794556
0,100,0.1,2,True,3,0.8582249974408844,0.6729634002361276,0.5889039946495588,0.9113967692966337,0.180462991444228,0.11475123043549251,0.11475123043549251,0.0674825702343589,1.1483396326314823,0.2294033748596297,0.020354079630531617,651.1778800487518
0,100,0.2,2,True,3,0.8582249974408844,0.6729634002361276,0.5889039946495588,0.9113967692966337,0.180462991444228,0.11475123043549251,0.11475123043549251,0.0674825702343589,1.1483396326314823,0.2294033748596297,0.020354079630531617,652.6244525909424
0,40,0.1,2,True,7,0.8507523799774798,0.6297613001523616,0.5556205744915413,0.9084012032455073,0.17065616221120822,0.1753545520281775,0.1753545520281775,0.06124793995302683,1.2941630298684663,0.33934318060655494,0.03594760513318175,220.42136979103088
0,10,0.2,3,True,6,0.8530044016787798,0.6579323487374941,0.5718639924218425,0.9061572915073021,0.1871894659428565,0.1472207319633319,0.1472207319633319,0.07523872867060225,1.284268940114518,0.32540351206846985,0.03995081306617125,192.61874985694885
0,80,0.1,2,True,3,0.8582249974408844,0.6709432169161321,0.5878726836180258,0.9107720598942838,0.18198290239060913,0.1116401530171911,0.1116401530171911,0.07080217143901396,1.133427915465929,0.21765961637226505,0.019176797164122985,502.39626932144165
0,40,0.2,3,True,9,0.852492578564848,0.6423430131546289,0.5639318259675989,0.9069652954313991,0.16993537436198436,0.1342661706048378,0.1342661706048378,0.06268826529853341,1.3530026950915832,0.38437742383561707,0.04999050035710179,297.1074757575989
0,80,0.1,1,True,5,0.8560753403623708,0.65352390340069,0.575948806602983,0.9095922291180945,0.17531532055734397,0.1332719087495044,0.1332719087495044,0.06597037660800535,1.3659895227398546,0.39188986497262623,0.05247853344863091,222.62170791625977
0,90,0.0,2,True,20,0.8519807554509161,0.6588013213780085,0.5705380049418378,0.9066083474092244,0.1988600997437439,0.1683772246973479,0.1683772246973479,0.08529596223204211,1.455027878380781,0.4870195559453359,0.05852512002983555,291.97681283950806
0,50,0.30000000000000004,3,True,8,0.8505476507319071,0.6403940886699507,0.5590145813355577,0.90655870334422,0.17056412771018065,0.11000734762426817,0.11000734762426817,0.06767001971027445,1.3280459052627633,0.3579689438847712,0.04434727316138719,329.8607542514801
