,num_trees,delta,max_iters,early_stop,min_node_size,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,60,0.4,4,False,14,0.8964945261528254,0.943999042718679,0.34063911249074674,0.9022070564728526,0.13067245067012023,0.19168986636971053,0.05612371142893413,0.19168986636971053,1.1871811603656275,0.3017083454898769,0.0261625512689683,518.9150977134705
0,50,0.5,5,True,12,0.8947252018135574,0.9430144858134802,0.32737102031823684,0.8971452854063563,0.14386302322664002,0.15932628062360799,0.0889105966748358,0.15932628062360799,1.2026070464395198,0.3113035466361532,0.028568546990322297,247.32385754585266
0,60,0.5,1,False,17,0.894061705186332,0.9426896386695381,0.3195105035691418,0.9022483082054844,0.13696293389512626,0.17559855233853006,0.07485564202809047,0.17559855233853006,1.191913236577487,0.29285597291262877,0.027224774331941464,146.0304732322693
0,80,0.5,5,False,17,0.8943934534999447,0.9429612375321029,0.3163765048333951,0.8999593401143211,0.1118733233599899,0.13741648106904236,0.056779965530522225,0.13741648106904236,1.215919079759575,0.31693132850839945,0.027999583323586017,597.9915361404419
0,20,0.30000000000000004,1,False,10,0.8983744332632976,0.9448280002401392,0.367019850384723,0.9059313717947048,0.17242522336226673,0.2020322939866369,0.1021780463996752,0.2020322939866369,1.1608460980763005,0.269007462427714,0.023529154304934012,101.5988700389862
0,30,0.4,3,False,14,0.8938405396439235,0.9428571428571428,0.29917718086982276,0.8975423555271995,0.14076990282463475,0.22348273942093544,0.0716464518886849,0.22348273942093544,1.1885777806572961,0.2935912392501156,0.02525890189109508,285.21670508384705
0,70,0.30000000000000004,5,False,10,0.8981532677208891,0.9447742399712179,0.3614715076048253,0.9067380591917974,0.14651372718664668,0.1627366369710468,0.08331486498020124,0.1627366369710468,1.1691111643415761,0.2824987466194627,0.025816415550902354,652.9216909408569
0,70,0.0,4,False,5,0.8979321021784806,0.9444611589144954,0.3711079070440163,0.9087450122098026,0.19824185223826551,0.2641007795100222,0.11087574420290947,0.2641007795100222,1.1110353805068336,0.23729725079859257,0.0202764185186857,247.21348977088928
0,40,0.2,3,True,4,0.8945040362711489,0.9428810920847802,0.326412940222063,0.9087052992792487,0.14743048012675164,0.19503062360801782,0.07992637044145456,0.19503062360801782,1.1001317377616444,0.22596362354344093,0.019139523204586402,154.1548330783844
0,30,0.0,4,True,7,0.8958310295255999,0.9435860582105642,0.3383229341047192,0.9066059589518628,0.12677530200167775,0.11984966592427615,0.07758788246524895,0.11984966592427615,1.13394318748357,0.25468229606791976,0.022121196289587974,122.70392656326294
