,lr,batch_size,epochs,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0015676677195506068,256,500,0.405,0.48034934497816595,0.12963868258382186,0.6439285714285714,0.037634408602150504,0.03818369453044368,0.0,0.03818369453044368,3.486200852470555,2.822740410000101,0.13944915724698204,86.62044358253479
0,0.0015119336467641006,512,500,0.69,0.1388888888888889,0.06432041541566332,0.633452380952381,0.07667134174848059,0.1388888888888889,0.1388888888888889,0.039731682146542824,3.0816656303724677,2.0270706824625595,0.03683542652095362,52.10067677497864
0,0.0005627932047415167,512,500,0.66,0.19047619047619047,0.026860765467512676,0.46785714285714286,0.08321645628798505,0.19444444444444445,0.19444444444444445,0.02373581011351908,3.3967794560320823,2.599170569625033,0.038352498030107984,51.63977265357971
0,0.0003417952912061009,256,500,0.7,0.0625,0.062347968638854966,0.6702380952380953,0.005610098176718092,0.0196078431372549,0.013888888888888888,0.0196078431372549,3.1345896541279843,2.122288313135194,0.03982427038650682,84.59630680084229
0,0.001871450068624067,256,500,0.68,0.08571428571428572,0.0,0.5708333333333333,0.021037868162692847,0.05555555555555555,0.05555555555555555,0.003611971104231164,3.3941247389724056,2.5603958203173254,0.04980407632317263,97.47640824317932
0,2.2310905607443014e-05,512,500,0.645,0.1839080459770115,-0.0031929007507671006,0.5615476190476191,0.08485273492286115,0.1026831785345717,0.05555555555555555,0.1026831785345717,3.3885583932238803,2.716316170886339,0.04257992649964937,51.45700478553772
0,0.01296065659727973,512,500,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.6308985483524436,3.0135541632660616,0.09364236495447908,51.18053078651428
0,0.015726578854179506,512,500,0.43,0.46226415094339623,0.08686140642703682,0.5310714285714285,0.06732117812061711,0.0737874097007224,0.02777777777777779,0.0737874097007224,3.448133158784442,2.6722533467672935,0.06249745838160781,51.05671787261963
0,2.972334644335654e-05,256,500,0.6,0.14893617021276595,-0.09294945087777896,0.5217857142857143,0.059373539036933154,0.055555555555555566,0.055555555555555566,0.047987616099071206,3.3604104416549943,2.659738797230676,0.03794574515664362,84.58177757263184
0,0.06007249475906202,256,500,0.3,0.46153846153846156,0.0,0.5,0.0,0.0,0.0,0.0,3.862823758899351,3.1046643600473494,0.36795609758605563,119.20991015434265
0,0.00016426074441272136,256,500,0.745,0.49504950495049505,0.34324449687773445,0.7141666666666666,0.2872837774661056,0.2777777777777778,0.2777777777777778,0.24045407636738908,3.053372289186484,2.171263946530775,0.027064903745669167,84.21548247337341
0,0.00013413218712252046,256,500,0.685,0.136986301369863,0.0486844825459517,0.5151190476190476,0.0694249649368864,0.13828689370485037,0.06944444444444445,0.13828689370485037,3.4209374604616,2.788240071714079,0.04258168902255788,139.5605125427246
0,0.00011125629195861185,256,500,0.635,0.416,0.15141892085983266,0.6000000000000001,0.2769985974754558,0.303921568627451,0.18055555555555552,0.303921568627451,3.1062631613794363,2.2282370132773375,0.024837646901135546,85.13435053825378
0,0.0001198372456640387,256,500,0.555,0.5082872928176796,0.21649898075274054,0.666547619047619,0.12833099579242646,0.11111111111111116,0.11111111111111116,0.09545923632610942,3.2407590584998687,2.4877338979931736,0.05419531547186729,85.22389459609985
0,1.127705712133727e-05,256,500,0.595,0.24299065420560748,-0.02830664467807362,0.49654761904761907,0.13020102851799906,0.1527777777777778,0.1527777777777778,0.1166150670794634,3.338566807254934,2.5777338278210395,0.053786242905458526,90.72273921966553
0,9.514813310167668e-05,256,500,0.675,0.3925233644859813,0.17755986207155272,0.6252380952380951,0.10355306217858812,0.10629514963880288,0.041666666666666685,0.10629514963880288,3.08443778756947,2.1525991216748865,0.02487254600275879,106.27714109420776
0,0.00024913537018992005,256,500,0.68,0.5076923076923077,0.27450540652300653,0.6847619047619049,0.06311360448807851,0.10990712074303408,0.08333333333333337,0.10990712074303408,2.995560398437139,2.1173784991611355,0.028918253808843275,109.8457179069519
0,0.00036135147789824945,256,500,0.385,0.4810126582278481,0.13338420617720018,0.6519047619047619,0.09654043945769053,0.12383900928792568,0.01388888888888895,0.12383900928792568,3.1571570297524847,2.2724350171475196,0.057349975627668304,129.0575795173645
0,0.005631568550214909,256,500,0.31,0.46511627906976744,0.0657951694959769,0.4548809523809524,0.01449275362318836,0.019607843137254943,0.0,0.019607843137254943,3.466064835898575,2.8193767566791283,0.0473723147152163,85.31041312217712
0,3.910571111908913e-05,256,500,0.545,0.272,-0.05823804648455102,0.45976190476190476,0.026881720430107503,0.12499999999999997,0.12499999999999997,0.03508771929824561,3.2466774120252437,2.5162384585828144,0.043059644109685546,87.0655038356781
