,lr,batch_size,num_timesteps,n_iter,model_params,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0002288113668475521,2048,590,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.9009178370009953,0.9455451561930229,0.42452330036581515,0.901987895546115,0.20712857443243682,0.22346881959910914,0.11613689388837378,0.22346881959910914,1.1539219110794223,0.256131796123712,0.028177225723730843,1879.0446536540985
0,0.00025533788451512354,2048,178,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.8973791883224593,0.943778020113898,0.390822193919256,0.8996762597166473,0.1991041401875293,0.23342149220489972,0.11172241957659779,0.23342149220489972,1.1139494062922073,0.24216863399030747,0.022546801308926945,1774.7029666900635
0,1.9632702887198374e-05,2048,951,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 1024, 'dropout': 0}",0.9009178370009953,0.945703551084717,0.41519555288742777,0.9003475325308677,0.1966159383313444,0.21337694877505564,0.11069643980356847,0.21337694877505564,1.2838235092128572,0.26491979478709726,0.03351828749658879,2482.2357892990112
0,0.00032827312139428744,4096,714,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 256, 'dropout': 0}",0.900364923144974,0.9454104816722205,0.4109331492133676,0.9047142977203239,0.15457856374033419,0.1147410913140311,0.0905207501809181,0.1147410913140311,1.0775680742131306,0.2198156610627982,0.020342371952501548,1606.3856756687164
0,6.0444149686946634e-05,4096,495,5000,"{'n_layers_hidden': 2, 'n_units_hidden': 128, 'dropout': 0}",0.8951675328983745,0.9427328742297933,0.3651650818611932,0.8895008126058667,0.1926286099239677,0.21973830734966593,0.11642342231852065,0.21973830734966593,1.2043479024096513,0.26718157083733024,0.01753680721987529,1452.3986988067627
0,2.4762069289032602e-05,4096,224,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 512, 'dropout': 0}",0.8979321021784806,0.9441317111554991,0.39135972403363223,0.8909607806698051,0.17664268867766586,0.16535356347438745,0.1073079452648219,0.16535356347438745,1.5062569690760035,0.4452359933127412,0.05398299308968012,1536.6656382083893
0,0.002627578213927961,4096,135,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 1024, 'dropout': 0}",0.9000331748313612,0.9448309532527768,0.43256502871096036,0.9163653376546053,0.25566402422174217,0.2342427616926503,0.17414617038077795,0.2342427616926503,1.0144107542433995,0.16846925982701239,0.00959862634140369,1736.590502500534
0,0.0002532447817066925,4096,184,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.8992590954329316,0.9446301586336838,0.41414432696143616,0.9006740544949001,0.2211410326294403,0.23862750556792872,0.13226783487068916,0.23862750556792872,1.1318105196229389,0.2384269393119899,0.0249349634745545,1462.5078995227814
0,0.0002837028228029903,4096,104,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 512, 'dropout': 0}",0.9045670684507354,0.9471815900605912,0.46865230200707525,0.9195558070247498,0.19362616748163253,0.12633630289532294,0.11648259277030326,0.12633630289532294,0.9972606602534579,0.16683713368033287,0.009627708063218205,1470.1977882385254
0,3.5694413775579874e-05,2048,862,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 512, 'dropout': 0}",0.8972686055512551,0.9437276636985886,0.3894419155841575,0.9001219796570366,0.20349348272812462,0.2356486636971047,0.11758065291186759,0.2356486636971047,1.1621682759594087,0.25195299680140143,0.028854107119028947,1891.9672482013702
