,lr,batch_size,num_timesteps,n_iter,model_params,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0002288113668475521,256,590,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.755,0.5420560747663551,0.38342636882117903,0.7330952380952381,0.013323983169705483,0.04545454545454547,0.04545454545454547,0.04000000000000001,2.8745342857080605,2.023403510203721,0.030016446235385796,4730.779084682465
0,0.00025533788451512354,256,178,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.745,0.3855421686746988,0.3112298144134671,0.6877380952380954,0.020336605890603085,0.13397129186602869,0.13397129186602869,0.07,2.8608948729829966,1.8615667866189658,0.027743767513637163,3119.204860687256
0,1.9632702887198374e-05,256,951,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 1024, 'dropout': 0}",0.53,0.3380281690140845,-0.013310478650534575,0.5072023809523809,0.10705937353903694,0.15789473684210525,0.15789473684210525,0.08499999999999996,4.049241927533332,3.382019957927539,0.549144085352578,2331.7173397541046
0,0.00032827312139428744,4096,714,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 256, 'dropout': 0}",0.71,0.4528301886792453,0.2644546745762287,0.6834523809523809,0.06404862085086488,0.095,0.0574162679425837,0.095,2.6558595136656407,1.468135761179192,0.028201033504082318,894.704770565033
0,6.0444149686946634e-05,4096,495,5000,"{'n_layers_hidden': 2, 'n_units_hidden': 128, 'dropout': 0}",0.595,0.4,0.10141851056742199,0.6101190476190477,0.21622253389434318,0.235,0.208133971291866,0.235,4.008414585623245,3.3662845908999848,0.3703532709631019,842.713362455368
0,2.4762069289032602e-05,4096,224,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 512, 'dropout': 0}",0.67,0.26666666666666666,0.09166984970282113,0.6264285714285716,0.12388966806919122,0.14500000000000002,0.10047846889952153,0.14500000000000002,3.7609880167883163,2.9706057912709256,0.3387095425033215,723.7096803188324
0,0.002627578213927961,4096,135,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 1024, 'dropout': 0}",0.7,0.3877551020408163,0.21137549582474263,0.7030952380952381,0.06498363721365122,0.14114832535885166,0.14114832535885166,0.04999999999999999,2.7756202402234322,1.7247845948551719,0.027074607481185176,823.6995785236359
0,0.0002532447817066925,4096,184,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.71,0.4528301886792453,0.2644546745762287,0.7047619047619048,0.029453015427769985,0.1291866028708134,0.1291866028708134,0.010000000000000009,2.7864806448139703,1.730180013202504,0.044471540418671296,731.1138191223145
0,0.0002837028228029903,4096,104,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 512, 'dropout': 0}",0.69,0.3541666666666667,0.17607952895267423,0.6763095238095238,0.2533894343151005,0.2703349282296651,0.2703349282296651,0.22999999999999998,3.621602726759617,2.6339351347224245,0.47254349039859145,880.5141394138336
0,3.5694413775579874e-05,256,862,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 512, 'dropout': 0}",0.72,0.40425531914893614,0.25561098991389214,0.6909523809523809,0.012622720897615708,0.14114832535885166,0.14114832535885166,0.024999999999999994,3.0464448133434927,2.1291489562329358,0.12590489366094015,2347.7106766700745
0,0.001840037203224072,256,484,5000,"{'n_layers_hidden': 2, 'n_units_hidden': 128, 'dropout': 0}",0.73,0.41304347826086957,0.27976190476190477,0.7467857142857142,0.048620850864890125,0.045,0.002392344497607668,0.045,2.5338475614631344,0.5896402694590532,0.022590145870070355,1078.778214931488
0,0.0009120872396123555,256,373,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.695,0.34408602150537637,0.17931019470348308,0.7267857142857143,0.017999064983637236,0.009569377990430616,0.009569377990430616,0.0050000000000000044,2.8166103957011313,1.644420082994312,0.02231532384484458,1178.1944198608398
0,8.947819178823957e-05,256,643,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.705,0.45871559633027525,0.2613009951265508,0.7164880952380952,0.05119214586255258,0.2272727272727273,0.2272727272727273,0.004999999999999977,3.674481221495251,2.761082484245388,0.38490896514225525,1310.817878961563
0,0.0005816647701933289,256,358,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.735,0.39080459770114945,0.28416816681827195,0.7377380952380952,0.03202431042543245,0.23205741626794257,0.23205741626794257,0.04000000000000001,2.812913972114704,1.7567732016129263,0.02311838317444792,1213.5880270004272
0,8.062950027946364e-05,256,696,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 128, 'dropout': 0}",0.705,0.40404040404040403,0.2285720921580854,0.6827380952380953,0.07223001402524543,0.1674641148325359,0.1674641148325359,0.04999999999999999,3.007516040119285,2.052971953604138,0.06486346005987986,1174.3937966823578
0,0.00013777698769947054,256,339,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.69,0.3111111111111111,0.1527830828380352,0.6704761904761904,0.030388031790556325,0.08133971291866027,0.08133971291866027,0.01999999999999999,3.0261587720882344,2.1327192885390533,0.07526174750575132,1165.3785345554352
0,1.1056022416120488e-05,256,592,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.705,0.03278688524590164,0.10828339268940694,0.4456547619047619,0.016129032258064516,0.045454545454545456,0.045454545454545456,0.0,3.9355505434667717,3.097723990018801,0.7620222834427754,1269.8817112445831
0,0.0006628659471566452,256,820,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 256, 'dropout': 0}",0.755,0.46153846153846156,0.35273781075132926,0.7563095238095238,0.14936886395511922,0.1650717703349282,0.1650717703349282,0.10999999999999999,3.6008230831959107,2.5908637210256753,0.8923287219104021,2347.6227853298187
0,0.0009871727722637026,256,804,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.755,0.4842105263157895,0.35894207687829,0.7714285714285714,0.09700794763908369,0.16,0.10287081339712917,0.16,1.8855201216726831,0.2118388855209973,0.022469212882409106,1196.3937282562256
0,0.0015474172788643426,256,777,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.725,0.45544554455445546,0.28919024540092586,0.7273809523809525,0.14703132304815336,0.135,0.11244019138755978,0.135,1.976855418192101,0.2538420013100125,0.024147023099908793,1185.8211030960083
