,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0001,5,0.0001,1024,50,250,leaky_relu,0.191211862270095,2,250,relu,0.13319992505745298,100,100,0.8517760262053434,0.6532567049808429,0.5672743659382345,0.8996093688394592,0.17828721110228896,0.13528667397541466,0.13528667397541466,0.06792622595751772,1.665269940406836,0.723337183757884,0.2016084687267833,836.676568031311
0,1000,0.001,4,0.0001,1024,300,200,leaky_relu,0.014716964477117941,5,450,elu,0.12607587271078174,100,100,0.8448152318558706,0.6811106436684897,0.5787398744972706,0.8989621829068088,0.228092281558348,0.1438734809078398,0.1438734809078398,0.1113795188604529,1.5378684567852683,0.4590063357151801,0.15120081493059984,845.6589694023132
0,1000,0.001,5,0.0001,1024,250,150,leaky_relu,0.048866323828508335,3,500,elu,0.18736451958688144,100,100,0.8457365134609479,0.6866292368475775,0.5848113404912724,0.901466949024841,0.2696633006048291,0.23831669426885305,0.23831669426885305,0.1441147239362508,1.6319585137391805,0.5875175992376365,0.2000661419221722,963.8206205368042
0,1000,0.0001,5,0.0001,1024,200,150,leaky_relu,0.04852612213412596,3,300,elu,0.19846615271546003,100,100,0.8477838059166752,0.6851577387253864,0.5848499655509244,0.9051560066901206,0.22286462774704152,0.13996349513657247,0.13996349513657247,0.10472468301307046,1.4146230757404823,0.3728647218775818,0.05927342067293028,903.8157365322113
0,1000,0.0001,5,0.0001,1024,200,150,leaky_relu,0.04782916097832082,3,350,relu,0.19402312004175157,100,100,0.8525949431876344,0.6579572446555819,0.5711487061524559,0.9031189020540152,0.1954735125647572,0.19012852511021439,0.19012852511021439,0.07814123581872619,1.317382265885458,0.3106770550068107,0.06590545420759956,901.8477475643158
0,1000,0.0001,5,0.0001,1024,200,100,leaky_relu,0.045036921407150474,4,250,elu,0.16225297095419797,100,100,0.8537209540382844,0.6848952590959206,0.5902512601782304,0.9050011172073065,0.22752242087551505,0.20621165823050547,0.20621165823050547,0.10225330965955229,1.291079716192932,0.31212726336589236,0.03680794592991955,870.5819506645203
0,1000,0.0001,5,0.0001,1024,100,100,leaky_relu,0.03786382620050703,4,250,elu,0.15445486845146947,100,100,0.8375473436380387,0.6952179758018052,0.5917467765132595,0.9033404440901921,0.28074722034622485,0.16329505518907203,0.15104033029320518,0.16329505518907203,1.3833575357790484,0.3930138713241626,0.0662681228642738,835.2359807491302
0,1000,0.0001,5,0.0001,1024,50,50,leaky_relu,0.0006790100953068118,4,200,elu,0.15040116869539275,100,100,0.8423584809089979,0.6703767123287672,0.5667850816148733,0.8981305512856863,0.2577906616663922,0.27408387954561364,0.27408387954561364,0.1308878487508883,1.6310500279609634,1.05197818604896,0.17588514448235285,837.62464427948
0,1000,0.0001,2,0.0001,1024,100,500,leaky_relu,0.03464853444232047,4,200,relu,0.10147075012356435,100,100,0.8280274337189067,0.5569620253164557,0.4772371018957529,0.8839939073349926,0.14498230254221417,0.13761342166032986,0.13761342166032986,0.05670672975492537,1.3689087062882224,0.359358957888031,0.04202852697714918,725.5107984542847
0,1000,0.0001,4,0.0001,1024,150,100,tanh,0.06825373961598734,4,250,elu,0.17118164115609838,100,100,0.8511618384686253,0.6335685483870968,0.5578162721136356,0.8951551882105793,0.13617947320863905,0.04754087844930144,0.04754087844930144,0.03875430640506511,1.43718803967795,0.4324214377785467,0.08025937613587383,767.4493885040283
