,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0001,5,0.001,1024,200,150,leaky_relu,0.191211862270095,5,450,relu,0.12286075314268655,100,100,0.6451836451836452,0.5485008818342152,0.2743088844476068,0.6802910078572122,0.03642031057926293,0.05105740514210777,0.05105740514210777,0.01433706070287541,0.5125156981710152,0.12286538049451227,0.05433149672709151,844.2086908817291
0,1000,0.001,4,0.001,512,100,500,tanh,0.014716964477117941,4,500,tanh,0.11598754558724389,100,100,0.5211365211365211,0.45375494071146244,0.028089562492612307,0.5445591230963236,0.09980306565314467,0.181714991018393,0.181714991018393,0.04506123535676254,1.5725824341386352,1.0633437047256253,0.35055879542493756,1530.489057302475
0,1000,0.001,5,0.001,512,200,350,leaky_relu,0.048392280663942217,4,400,relu,0.0008061785740850758,100,100,0.638946638946639,0.5995388162951576,0.27083281054343766,0.674153652148608,0.07478487744913576,0.05287539936102237,0.04871006491001861,0.05287539936102237,0.500962623864126,0.1486394908340866,0.03867204963910146,1250.7636134624481
0,1000,0.0001,2,0.001,512,50,300,leaky_relu,0.1212506422069648,5,350,tanh,0.1361620145593709,100,100,0.6562716562716563,0.581787521079258,0.2985197144724835,0.6902231060238626,0.14379970397130026,0.15577302432197132,0.15577302432197132,0.09177981895633655,0.481575056728751,0.15213491049341413,0.046425810570009794,1450.7989435195923
0,1000,0.0001,2,0.001,1024,50,250,leaky_relu,0.1765716546553677,5,350,elu,0.1388555599778284,100,100,0.6521136521136521,0.6053459119496856,0.2948150819135899,0.6876486565137259,0.022384034519956852,0.06617736194223123,0.06617736194223123,0.05518503727369539,0.4679294679518751,0.13119591859720223,0.0451917787420412,887.6693239212036
0,1000,0.0001,2,0.001,1024,50,300,leaky_relu,0.19172257044846797,5,300,tanh,0.15102746860153396,100,100,0.638946638946639,0.5512489233419466,0.261593430027174,0.6830264817150064,0.020295526956172705,0.013885674612358234,0.013885674612358234,0.013784611288604892,0.4813871149378868,0.16169778409359706,0.04977140425887416,872.7985167503357
0,1000,0.0001,2,0.001,1024,50,250,leaky_relu,0.16830657150912048,3,250,elu,0.1970757680840814,100,100,0.6098406098406098,0.5396565821749796,0.20465201939489547,0.6527160733339799,0.09321140964852864,0.14370571186123143,0.14370571186123143,0.02593184238551649,0.45568559788742385,0.11458574635882328,0.04280876228678802,868.592933177948
0,1000,0.0001,2,0.001,1024,150,300,leaky_relu,0.11676781627638456,5,250,relu,0.14185073490086933,100,100,0.6257796257796258,0.5927601809954751,0.24701492481412102,0.6698661363856825,0.07020019567998798,0.10714190628328008,0.07351693280876337,0.10714190628328008,0.56355523768702,0.1756954565987297,0.07422604847341141,879.8351981639862
0,1000,0.0001,2,0.0001,1024,100,200,leaky_relu,0.17151972809925334,4,350,tanh,0.09597506485039697,100,100,0.6437976437976438,0.5737976782752903,0.27346547054475673,0.6761063148705015,0.2226926068086601,0.28694856790205087,0.28694856790205087,0.1366413738019169,0.5230427168663042,0.15717947346065086,0.0541990982923668,829.4958727359772
0,1000,0.0001,1,0.001,1024,50,400,leaky_relu,0.16326904724467484,3,200,elu,0.1747870762852638,100,100,0.6382536382536382,0.5445026178010471,0.25976230088041596,0.6727267436220778,0.14891748827174434,0.16074321420306148,0.16074321420306148,0.10358759318423852,0.4241724274241165,0.11570309856959976,0.04888222361567903,799.3915014266968
