,lr,batch_size,num_timesteps,n_iter,model_params,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1.122977233797048e-05,256,958,5000,"{'n_layers_hidden': 2, 'n_units_hidden': 1024, 'dropout': 0}",0.6237006237006237,0.580046403712297,0.2392097179611864,0.6716160636337182,0.3045289617301252,0.3400244905099274,0.3400244905099274,0.2535415193865898,0.6595695612564965,0.40033917842275946,0.09151996775499575,1260.631726026535
0,0.0009120872396123555,256,401,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6756756756756757,0.6033898305084746,0.3388084994913506,0.7057483752061305,0.06530943177343762,0.06271319863552871,0.06271319863552871,0.03206400565555495,0.30043020490109834,0.10425620817448668,0.03471229481472212,1308.089676618576
0,0.0010924400928008313,256,401,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6798336798336798,0.615,0.3477409203869218,0.7160432631681055,0.08045395463840704,0.11331234146768132,0.11331234146768132,0.019196258632878327,0.2924782734836777,0.10945084946147077,0.029820003535038886,1288.3695180416107
0,0.0017765204149354662,256,379,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6638946638946639,0.6008230452674898,0.3153161033914361,0.7074478610922496,0.13305121702351064,0.14694305956441878,0.14694305956441878,0.08976833976833976,0.3052247332582046,0.10793826170792802,0.03125323626277687,1286.4849016666412
0,0.0009171340286558773,256,373,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6756756756756757,0.59375,0.33885345278237117,0.7174924822970219,0.06610116388854781,0.08803463657832589,0.08803463657832589,0.014675893197019951,0.3170552861257201,0.1025378209182816,0.03486512252505077,1293.192389011383
0,0.0007328934742160946,256,321,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6632016632016632,0.597682119205298,0.31360834308934377,0.7016441943932485,0.11950285997349602,0.15214729292399198,0.15214729292399198,0.06217031921257274,0.2975431105015832,0.11839098852439166,0.02540762609150704,1173.7046403884888
0,0.0009271475289053043,256,580,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6715176715176715,0.5899653979238755,0.3300527502996694,0.7080909884566884,0.07951615429885134,0.11420886906323802,0.11420886906323802,0.01934580455707216,0.2656010882552868,0.10420529586856352,0.025329115304689214,1203.897973060608
0,9.912179823781319e-05,256,491,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6632016632016632,0.597682119205298,0.31360834308934377,0.7039596469104666,0.11950285997349602,0.15214729292399198,0.15214729292399198,0.06217031921257274,0.28220346059538737,0.11803963114466656,0.0270406503537363,1022.0606398582458
0,0.0005646006787444513,256,296,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6611226611226612,0.5802575107296137,0.30823016403969905,0.7038577941604424,0.16239399469073756,0.1998381877022654,0.1998381877022654,0.10278563271521018,0.2646103994838201,0.1024666233411346,0.026994712967675305,932.855554819107
0,0.0015474172788643426,256,699,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6638946638946639,0.5907172995780591,0.3143515711844881,0.6994490251236783,0.1286628194977793,0.14869238170209048,0.14869238170209048,0.08114905650116919,0.28875812498484255,0.10961096191297179,0.033834849463631876,931.1532571315765
