,batch_size,epochs,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,966.9527277946472
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,1077.1462490558624
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,786.9500362873077
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,763.8045053482056
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,984.8993172645569
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,1000.4833681583405
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,806.5269253253937
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,815.7978670597076
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,775.8677937984467
0,16,100,0.6417186417186417,0.5052631578947369,0.2688785318717268,0.6941255213890776,0.09290997540126425,0.10423773287850957,0.10423773287850957,0.0587443580401327,0.43413028416617017,0.2159944472882633,0.04365554409183107,790.6526033878326
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,991.6712710857391
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,998.896910905838
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,1013.3214495182037
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,999.8931541442871
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,999.1874511241913
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,982.3816719055176
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,991.8919870853424
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,1011.403192281723
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,993.2888567447662
0,8,100,0.6576576576576577,0.5484460694698354,0.30178582014172844,0.6966650499563488,0.1266538521789569,0.1568923292224263,0.1568923292224263,0.07412039806406004,0.2710523153391811,0.08662159410962043,0.022714247323463905,954.4663925170898
