,num_trees,delta,max_iters,early_stop,min_node_size,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,60,0.4,4,False,14,0.8963724839637248,0.9439157239480457,0.34069031245084397,0.9053741935667174,0.1636313720596494,0.20458513894681774,0.09755450623761219,0.20458513894681774,1.1874583747708536,0.2880466605828158,0.02623282025763483,469.8548216819763
0,50,0.5,5,True,12,0.8991373589913736,0.9453106260494123,0.3693055003585248,0.9040338474680931,0.14973731827541026,0.18846716670083485,0.07679841436399681,0.18846716670083485,1.1945863092692444,0.30058474541908164,0.027864258623808386,250.24813532829285
0,60,0.5,1,False,17,0.8959301039593011,0.943568215892054,0.3436544516072294,0.9015966716040777,0.14346540213389902,0.15165032483369512,0.0864667133030197,0.15165032483369512,1.1842057753375217,0.29167630341096407,0.02624018461967768,146.99719285964966
0,80,0.5,5,False,17,0.8990267639902676,0.9453064158629365,0.3654373570267456,0.9039551219641552,0.1373706869657454,0.1685388492616131,0.0691209047452489,0.1685388492616131,1.1984624074173196,0.30083622405651594,0.028128731078423095,596.416047334671
0,20,0.30000000000000004,1,False,10,0.8988055739880557,0.9449425356519646,0.3773373608232255,0.91001751849635,0.1676695576215137,0.20337629102836907,0.09031712720065288,0.20337629102836907,1.1531328184983165,0.26780168939763954,0.023920988954176207,100.8090398311615
0,30,0.4,3,False,14,0.8973678389736784,0.944297719087635,0.3582073675598472,0.9064429662728103,0.1519635614899857,0.17350855737079118,0.08633554856010262,0.17350855737079118,1.1775613951537323,0.2891616889403561,0.02586566710582502,283.33989810943604
0,70,0.30000000000000004,5,False,10,0.8989161689891617,0.9450721153846153,0.3741576593330143,0.9066702047762822,0.15166905846384227,0.1621199375075112,0.08594205433135127,0.1621199375075112,1.159790899435975,0.2772551604249086,0.025347925254104897,628.9934959411621
0,70,0.0,4,False,5,0.8968148639681487,0.9440546860946213,0.35037446930170796,0.9074669897450856,0.1744730766830973,0.21563443307860342,0.1045761921417746,0.21563443307860342,1.11211731362566,0.2393316687217474,0.020101065587681814,228.6221628189087
0,40,0.2,3,True,4,0.8972572439725724,0.9442477345015904,0.3567320910983233,0.9178053649832746,0.1543670056779185,0.16824900853262836,0.09228459834440939,0.16824900853262836,1.103232233026799,0.2337830220582244,0.019668391668185934,154.45692801475525
0,30,0.0,4,True,7,0.8978102189781022,0.9444978375780875,0.3640588137998344,0.9133714617325388,0.14440132276782924,0.18706744805842057,0.0683572344642649,0.18706744805842057,1.1305867453241434,0.25024134050448693,0.02156171891501118,124.20353436470032
0,10,0.2,1,True,20,0.8965936739659367,0.9439347604485219,0.34858833606732376,0.901246905436582,0.12318462594372004,0.13447195967679226,0.06371983210912902,0.13447195967679226,1.190834990917558,0.2940411153024598,0.02760671180661513,59.88406705856323
0,100,0.30000000000000004,2,False,9,0.8971466489714665,0.9442312305109138,0.3532523588821547,0.9059581829064556,0.16204654645286087,0.21341467725174434,0.08725370176052227,0.21341467725174434,1.1669668749622306,0.27987641770890365,0.026131115724666452,416.2572090625763
0,10,0.30000000000000004,2,False,9,0.8953771289537713,0.9432172869147659,0.3424945669394868,0.9025275858901167,0.17247894178573653,0.22837328658178813,0.09679083595662819,0.22837328658178813,1.1703107337954504,0.2792503987366304,0.025585246189619517,142.9168426990509
0,90,0.1,2,False,10,0.8946029639460297,0.9429648692321504,0.3253258542263982,0.9019198013228726,0.17412366631309661,0.23701195416274912,0.10245423807858234,0.23701195416274912,1.1742900446883524,0.2851848366244507,0.026528205656362047,366.205974817276
0,80,0.30000000000000004,1,False,12,0.8970360539703606,0.9441946892045795,0.3509660962572073,0.9075037480442927,0.13824920446746114,0.16549905625030936,0.07310248338579928,0.16549905625030936,1.1588564935844252,0.271098150999575,0.024430772005673593,189.96744346618652
0,30,0.4,5,False,7,0.8978102189781022,0.9444978375780875,0.3640588137998344,0.9133714617325388,0.14440132276782924,0.18706744805842057,0.0683572344642649,0.18706744805842057,1.1305867453241434,0.25024134050448693,0.02156171891501118,123.23226976394653
0,50,0.2,3,False,7,0.9001327140013271,0.9457299116533445,0.38369599815529803,0.911197868326445,0.1495002183814812,0.16293997469195587,0.08077999300454708,0.16293997469195587,1.1287263961385925,0.24959691094125097,0.020896046669044783,157.96662783622742
0,20,0.1,2,False,3,0.8965936739659367,0.9440086232708546,0.34414089164152556,0.9137352564296835,0.12781680913458549,0.13172200739447326,0.07388947184330186,0.13172200739447326,1.083669828814654,0.223208117833752,0.01777337963907228,118.12886762619019
0,50,0.1,3,True,6,0.8968148639681487,0.944115004492363,0.3467726545747464,0.9105956478173739,0.21556373619517066,0.33781290427479727,0.11739244491080802,0.33781290427479727,1.1215455822685643,0.24403804889394293,0.020794549734283248,164.69897294044495
0,40,0.2,1,False,8,0.8975890289758903,0.9444444444444444,0.35837900750804924,0.9076582986388657,0.13648967367567233,0.15440027711601412,0.07244665967121378,0.15440027711601412,1.1392449409375536,0.25019583224349284,0.023021214521755744,138.79842829704285
