,lr,batch_size,epochs,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0015676677195506068,512,500,0.8853256662611965,0.93888856149449,0.14143687208290326,0.8468717929293228,0.023133321069440993,0.02020243356795992,0.014687181958821682,0.02020243356795992,2.4885633063153567,1.5291920029909536,0.4106085652632242,4397.748846292496
0,0.0004950159553733195,2048,500,0.8809023554130266,0.9366135012653758,0.02517601934211944,0.5847626634533323,0.0023420340478158552,0.010067114093959773,0.000811531711417457,0.010067114093959773,2.5652722912654675,1.7053422976716832,0.44550761217730567,2672.8023431301117
0,0.07155682161754869,1024,500,0.8830034280659074,0.9378670425182053,0.0,0.5,0.0,0.0,0.0,0.0,2.6590423517409385,1.5893756204778868,0.4723016936553561,3022.7798488140106
0,0.001871450068624067,512,500,0.8583434700873603,0.917210624959607,0.4413596099456961,0.8795578429782686,0.1640751436759319,0.08089891750348033,0.08089891750348033,0.005510994707262518,1.7337618432739883,0.8044847735531955,0.1647749060360068,3962.0369238853455
0,1.2046852412030316e-05,2048,500,0.8899701426517749,0.9398682540641808,0.33072868009404693,0.8614245992900205,0.24213289774351776,0.31633655262727123,0.15296852777461,0.31633655262727123,2.070981907021912,1.2740997305662987,0.23951123370116023,2626.308751344681
0,0.0821246192225687,512,500,0.8830034280659074,0.9378670425182053,0.0,0.5,0.0,0.0,0.0,0.0,3.2895600625535564,2.477823433477212,0.5610988805868492,3931.539208173752
0,2.972334644335654e-05,2048,500,0.8957204467543957,0.9433531567249355,0.3483882525743455,0.8882159128706589,0.1877390627874349,0.29266928575326023,0.0884928174243712,0.29266928575326023,1.8297043229318382,0.9885958647475395,0.1778632455813753,2590.7105243206024
0,0.001222906594703436,2048,500,0.8828928452947031,0.9377754274634232,0.0321555262427542,0.6918693249275283,0.0010572066251615109,0.004474272930648726,0.000656254101588094,0.004474272930648726,2.5382597124328377,1.6694827970273516,0.4311278159345441,2608.9059834480286
0,0.0006677306766018312,2048,500,0.7422315603229017,0.8318788315903354,0.4147786404825079,0.8790482627516385,0.3018819164474312,0.24722203694100964,0.24722203694100964,0.010940142958476562,1.9156575365196438,0.9891189777335225,0.17273457102019046,2617.1070218086243
0,0.002807908107885727,1024,500,0.8906336392790003,0.9412812444338895,0.2560567920785416,0.8110665318833873,0.09451560210909393,0.13215474436623564,0.0496572775710995,0.13215474436623564,2.0709460583514185,1.272000998295615,0.2470706670552086,3021.77947974205
0,0.011624006272624034,512,500,0.7509675992480371,0.8536712150747239,0.027121207341768455,0.49657220000165714,0.04008785675182691,0.1328640803186556,0.014041686121194052,0.1328640803186556,3.1477105229425657,2.416685784391387,0.597609931565429,3889.826819419861
0,0.00016619628771824983,512,500,0.8668583434700874,0.9218486304037388,0.491631418277376,0.8926048131361615,0.2063113240792661,0.12450754046720991,0.12450754046720991,0.0028646259616958436,2.495151197160903,1.7237283999786654,0.3408139364081079,3933.271017551422
0,0.00011125629195861185,512,500,0.16863872608647573,0.11071682044002838,0.08358190690880071,0.8062124990974334,0.043066652777439166,0.04424443636379284,0.04424443636379284,0.0011185682326621924,2.580443243813534,1.7734096884498949,0.37134864062672646,3941.674746990204
0,0.00017123553109627275,512,500,0.8836669246931328,0.9380885122410546,0.09172612734187705,0.8723287875541689,0.007796732633109427,0.01627380367763409,0.012348693982616066,0.01627380367763409,1.829293238618694,0.8065061255321038,0.167863353541982,3919.3495347499847
0,0.012624210995423636,512,500,0.15824394559327656,0.08925580282364202,0.07550057180491382,0.7851990913965576,0.019764222975294166,0.014594660888761699,0.014594660888761699,0.0,2.5517796181339394,1.7442558810375013,0.3586437082872908,3931.2605226039886
0,0.00011833728104918535,512,500,0.11987172398540308,0.0067390490453013855,0.014093676457759274,0.7610301924804661,0.0032890872782802773,0.0035437721485759286,0.0035437721485759286,0.0011185682326621924,2.4571390109057574,1.6149260867335216,0.37856269909058227,3943.508157014847
0,0.00024913537018992005,512,500,0.8830034280659074,0.9378378378378378,0.035458128775239586,0.7858723173057233,0.0009397392223657874,0.004474272930648726,0.0005250032812704752,0.004474272930648726,1.8324041144616134,0.8135108029331053,0.17508583622431625,3915.416317462921
0,4.342540371084807e-05,1024,500,0.8977109366360722,0.9436147516001219,0.41446725626356573,0.8993476071035837,0.2034056681346399,0.19055219075680696,0.11960858566841459,0.19055219075680696,1.8457808227244956,1.0096030484911422,0.18449039296778544,3003.4623379707336
0,0.008248430686001796,512,500,0.11699657193409267,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.542255394853152,1.7147198366078986,0.37350107514351116,3925.8623027801514
0,0.003468965578898507,512,500,0.23642596483467876,0.24212490396224345,0.1133090553827626,0.8256368569138969,0.09017883857984127,0.08749982966082062,0.08749982966082062,0.018510940142958475,2.5856186262265166,1.8123755769093448,0.3676255079884671,4135.586056232452
