,num_trees,delta,max_iters,early_stop,min_node_size,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,60,0.4,4,False,14,0.715,0.37362637362637363,0.23214368741754146,0.6797619047619049,0.04047619047619047,0.014957264957264946,0.013888888888888895,0.014957264957264946,3.1057587482048805,2.3144854189570117,0.02073297600730095,15.464524269104004
0,50,0.5,5,True,12,0.67,0.36538461538461536,0.1527670557999117,0.6457142857142857,0.028571428571428553,0.16666666666666669,0.16666666666666669,0.1655982905982906,3.084547717939328,2.2733721262925872,0.018984476862232036,8.738409042358398
0,60,0.5,1,False,17,0.69,0.32608695652173914,0.16071428571428573,0.6578571428571429,0.12857142857142856,0.13888888888888887,0.13888888888888887,0.09829059829059829,3.1366383753899383,2.319368865804253,0.020004702486941195,6.812126874923706
0,80,0.5,5,False,17,0.665,0.29473684210526313,0.10050378152592121,0.5878571428571429,0.059523809523809534,0.05982905982905984,0.02777777777777779,0.05982905982905984,3.120542230397348,2.3730491469341723,0.02128012355986275,18.27031683921814
0,20,0.30000000000000004,1,False,10,0.685,0.3225806451612903,0.1499150808176662,0.6423809523809524,0.09285714285714286,0.20833333333333331,0.20833333333333331,0.06089743589743589,3.059142163124872,2.199146758975043,0.01827477602904226,4.520108461380005
0,30,0.4,3,False,14,0.63,0.3018867924528302,0.05703924353604932,0.6052380952380952,0.07619047619047617,0.08547008547008547,0.041666666666666685,0.08547008547008547,3.1233828154421928,2.3672415521950203,0.020813727711414653,8.992070436477661
0,70,0.30000000000000004,5,False,10,0.685,0.3368421052631579,0.1579345138264476,0.6328571428571428,0.22619047619047616,0.4583333333333333,0.4583333333333333,0.07905982905982906,3.0684341986131227,2.3064912730281955,0.019076226704555665,9.172720670700073
0,70,0.0,4,False,5,0.695,0.26506024096385544,0.14022442187859505,0.6226190476190476,0.026190476190476195,0.041666666666666685,0.041666666666666685,0.0032051282051282076,2.9956034600060044,2.18784674408266,0.017986820914054125,9.898505687713623
0,40,0.2,3,True,4,0.715,0.41237113402061853,0.2500838778840587,0.7045238095238096,0.045238095238095244,0.1388888888888889,0.1388888888888889,0.05128205128205128,2.953540135603204,2.0950930836034427,0.016937808124890097,7.481947898864746
0,30,0.0,4,True,7,0.695,0.35789473684210527,0.18664987997671081,0.6326190476190476,0.059523809523809534,0.1356837606837607,0.013888888888888895,0.1356837606837607,3.0243742869810166,2.1912817119349217,0.01803609439362175,5.809675693511963
0,100,0.1,2,True,3,0.72,0.46153846153846156,0.2844627935584563,0.7409523809523809,0.042857142857142844,0.02777777777777779,0.02777777777777779,0.005341880341880323,2.9180023008295564,1.9671216675843348,0.017501730695649087,16.649312734603882
0,100,0.1,2,True,3,0.72,0.46153846153846156,0.2844627935584563,0.7409523809523809,0.042857142857142844,0.02777777777777779,0.02777777777777779,0.005341880341880323,2.9180023008295564,1.9671216675843348,0.017501730695649087,18.65554141998291
0,100,0.1,2,True,3,0.72,0.46153846153846156,0.2844627935584563,0.7409523809523809,0.042857142857142844,0.02777777777777779,0.02777777777777779,0.005341880341880323,2.9180023008295564,1.9671216675843348,0.017501730695649087,23.710898876190186
0,100,0.1,2,True,7,0.695,0.4077669902912621,0.21512521506922352,0.6932142857142857,0.12142857142857141,0.18055555555555552,0.18055555555555552,0.05021367521367523,3.012931255121333,2.1577189607565854,0.018608157370826106,19.503025770187378
0,90,0.1,2,True,7,0.755,0.5242718446601942,0.37447722623161134,0.7498809523809524,0.0738095238095238,0.22222222222222227,0.22222222222222227,0.07905982905982906,3.014162483683142,2.108800404906526,0.0183116586299783,19.98777198791504
0,80,0.2,2,True,7,0.66,0.2916666666666667,0.0908797568787996,0.6125,0.04285714285714287,0.06196581196581197,0.04166666666666666,0.06196581196581197,3.0282489754020405,2.2269538787183656,0.017898315125045805,20.716190814971924
0,90,0.1,1,True,6,0.695,0.4077669902912621,0.21512521506922352,0.6985714285714286,0.19285714285714284,0.25,0.25,0.125,3.024835166503033,2.1797182179346564,0.017668238950423465,23.51916527748108
0,80,0.0,3,True,9,0.675,0.25287356321839083,0.09259412177224592,0.7011904761904761,0.02619047619047618,0.09722222222222221,0.09722222222222221,0.004273504273504286,3.042562539008238,2.2481604025498743,0.019839759305278815,19.49133586883545
0,90,0.2,2,True,20,0.62,0.17391304347826086,-0.047619047619047616,0.5327380952380953,0.01428571428571429,0.08333333333333333,0.08333333333333333,0.030982905982905984,3.142441187411177,2.4088980219681675,0.021041855418527433,26.592064380645752
0,90,0.1,3,True,5,0.76,0.5102040816326531,0.3782508872653289,0.7491666666666665,0.18095238095238095,0.3472222222222222,0.3472222222222222,0.02457264957264957,2.9769732380571545,2.119584255098794,0.01834832550939325,28.813968420028687
