,num_trees,delta,max_iters,early_stop,min_node_size,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,60,0.4,4,False,14,0.6742896742896742,0.5955249569707401,0.3358564992268783,0.7109341352216509,0.17614620362774588,0.2674570190197105,0.2674570190197105,0.07861982258853112,0.28874423177312314,0.08841046732809149,0.03175183009683676,37.64659905433655
0,50,0.5,5,True,12,0.6812196812196812,0.641185647425897,0.35461745069653877,0.7190678048307304,0.15944633253903145,0.19430857168324994,0.19430857168324994,0.10233289096877835,0.28654607208717386,0.11696841167192554,0.034460138608657154,32.76507902145386
0,60,0.5,1,False,17,0.6708246708246708,0.6058091286307054,0.3292440422304742,0.7207265496168398,0.17055353724754874,0.20819173472684932,0.20819173472684932,0.11414402458615633,0.29455643182846,0.09471213639462117,0.029119679421908334,33.35695838928223
0,80,0.5,5,False,17,0.674982674982675,0.6088407005838199,0.3376793963368772,0.7108992142787856,0.22071174655259973,0.32407046318064825,0.32407046318064825,0.11357127889921073,0.28217027895789615,0.08562484138785606,0.028048535140179354,39.86066150665283
0,20,0.30000000000000004,1,False,10,0.6770616770616771,0.6044142614601019,0.3416834787034204,0.7090959355902611,0.23655220907066682,0.29687238855029024,0.29687238855029024,0.16227561640008384,0.28745128295365513,0.09850924940938569,0.026713825286929744,24.812917470932007
0,30,0.4,3,False,14,0.6632016632016632,0.5810344827586207,0.31255505271535966,0.699546027742749,0.22418193419013765,0.2764710470311647,0.2764710470311647,0.15867849409792556,0.2657482863142721,0.07779287631879517,0.03228010706478527,27.074148178100586
0,70,0.30000000000000004,5,False,10,0.6777546777546778,0.6210268948655256,0.34429824489143235,0.7133174895722185,0.23717072281469329,0.3160926584140214,0.3160926584140214,0.14794998952294475,0.2658543718291091,0.08206164207513085,0.028284251398857485,40.44618368148804
0,70,0.0,4,False,5,0.6729036729036729,0.6105610561056105,0.3337597369186416,0.7121728586671839,0.24982746721877158,0.30618725556830717,0.30618725556830717,0.17895508835649926,0.27424661910061515,0.10131761545724903,0.029455334294441766,49.07849740982056
0,40,0.2,3,True,4,0.6708246708246708,0.6031746031746031,0.32902103557493423,0.7170317198564362,0.20298318944750446,0.25726191935286186,0.25726191935286186,0.1340713836697632,0.3075685463101677,0.1159355514432759,0.03140060278970817,37.489476680755615
0,30,0.0,4,True,7,0.6770616770616771,0.6129568106312292,0.3421015863836315,0.7034018818508099,0.1100173183848327,0.14463670904411186,0.14463670904411186,0.05458545784731439,0.280542340809817,0.105482259357865,0.034527740026879826,29.6393461227417
0,100,0.2,2,True,20,0.6791406791406791,0.6195562859490551,0.34677177837439527,0.7210602386264429,0.1767126320038543,0.2565265351145974,0.2565265351145974,0.0864496752112873,0.28775802099192366,0.10342601413114057,0.036328264943710664,43.753937005996704
0,100,0.2,2,True,20,0.6791406791406791,0.6195562859490551,0.34677177837439527,0.7210602386264429,0.1767126320038543,0.2565265351145974,0.2565265351145974,0.0864496752112873,0.28775802099192366,0.10342601413114057,0.036328264943710664,50.32901930809021
0,100,0.1,2,True,19,0.6853776853776854,0.6079447322970639,0.3592067329492835,0.7138830148414006,0.25969113376824615,0.36766983476139004,0.36766983476139004,0.1478242648599567,0.26557125980247953,0.07906411295741236,0.02781464016623018,43.952075242996216
0,50,0.1,2,True,13,0.6770616770616771,0.6217532467532467,0.34309385278023563,0.7132534678436317,0.19224058231441332,0.2770727250442902,0.2770727250442902,0.09838653349165327,0.2911321731894044,0.12395329888939988,0.0341569811673755,32.98591089248657
0,10,0.1,2,True,17,0.6812196812196812,0.6173044925124792,0.3506496733446425,0.7133902415365215,0.22694896936078232,0.2794348683550792,0.2794348683550792,0.15759586505552842,0.2824419601417709,0.0947754232665902,0.030765234113958446,16.216449737548828
0,90,0.1,5,True,8,0.6715176715176715,0.6089108910891089,0.33090335058109577,0.7027354738577942,0.10890399364558512,0.1953336527426489,0.1953336527426489,0.01473073968010058,0.2837453610916769,0.08559298645782239,0.024667492583694123,53.40144228935242
0,80,0.4,3,True,16,0.6798336798336798,0.6137123745819398,0.34766410570165357,0.7206499175477739,0.20507962550620465,0.2850505298109171,0.2850505298109171,0.11494028078508067,0.2847370298996306,0.09504680512215256,0.027350220060966397,40.04738235473633
0,50,0.30000000000000004,4,True,11,0.6770616770616771,0.6167763157894737,0.34245955321565563,0.7162498787467262,0.17567743531648372,0.26657678637087884,0.26657678637087884,0.07731368303415517,0.2663398226635788,0.07934042871961716,0.02847067863105786,35.15490770339966
0,40,0.1,1,True,8,0.674982674982675,0.6094920899250624,0.33772776473059934,0.7108545930740129,0.2008607107048452,0.3045604964957827,0.3045604964957827,0.09335754697213103,0.28576810424042487,0.10169251882809036,0.030493161710388073,39.47424936294556
0,80,0.5,2,True,15,0.6645876645876646,0.5980066445182725,0.3163259257156137,0.717724318556601,0.2509407919580192,0.320226409207902,0.320226409207902,0.1717608437521827,0.2678011584203201,0.09031029679505548,0.025934159878455414,48.89858961105347
