,lr,batch_size,epochs,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0015676677195506068,512,500,0.8572013512130208,0.6793840496437601,0.5908717006688278,0.9073596903466628,0.22037469056006606,0.20860631905408022,0.20860631905408022,0.09850713787535371,1.054180841960792,0.15244925104773008,0.009454248628691323,6789.89742565155
0,0.0004950159553733195,2048,500,0.8498310983724024,0.6718854842317155,0.5757781092970792,0.9026109727770553,0.2256103923453686,0.1857485797784305,0.1857485797784305,0.10927973116843562,1.0555206997234925,0.16750576955005375,0.010303274485135372,5066.578093290329
0,0.07155682161754869,1024,500,0.7696795987306787,0.15856394913986538,0.1727360350075921,0.758328283986766,0.050340291102505846,0.10240953076773972,0.10240953076773972,0.026778015070160643,2.318475312873107,0.9103622456322451,0.43199253152647793,5644.976311922073
0,0.001871450068624067,512,500,0.8543351417750026,0.6533495736906212,0.5721634708488021,0.9046896972142346,0.18759914406929246,0.1785050770125397,0.1785050770125397,0.07409285366745705,1.0627070667159897,0.17194163106614893,0.011280953858760512,6585.845475912094
0,1.2046852412030316e-05,2048,500,0.8402088238304842,0.6080843585237259,0.5238911736008913,0.8897864673366579,0.17880396669578036,0.17629236435206586,0.17629236435206586,0.0775479136855903,1.317777255258666,0.21142281304511729,0.015774437160395838,5061.4788637161255
0,0.0821246192225687,512,500,0.7612856996621967,0.009345794392523364,0.03991421220415794,0.5650543820958576,0.0007262234647104711,0.0014746447582268474,0.0014746447582268474,0.0001760257649110914,3.306386828178446,2.750013445414372,0.5195239587283741,8316.341984987259
0,2.972334644335654e-05,2048,500,0.8421537516634251,0.6269956458635704,0.5363936171596848,0.8942434800672293,0.19805650490772067,0.19087330579867895,0.19087330579867895,0.09198676732811929,1.1708335305929318,0.17659503240722485,0.010811472513544758,5199.84854054451
0,0.001222906594703436,2048,500,0.8555635172484389,0.6913148107635091,0.5973616284300803,0.907483678577367,0.21292242680499565,0.11668778982211825,0.11668778982211825,0.09761202162685274,1.0615096640364112,0.16369465641348113,0.011460827612125494,5215.120533943176
0,0.0006677306766018312,2048,500,0.8546422356433616,0.6539961013645225,0.5730620922637956,0.9043020720629846,0.19488746487650868,0.1964274531438711,0.1964274531438711,0.07990659776223996,1.0794676577920503,0.15608192092828713,0.01144830609525099,5198.790397167206
0,0.002807908107885727,1024,500,0.7726481727914832,0.4315331456360379,0.30537977168119007,0.8014390810442578,0.09283693084330462,0.05447920957549575,0.03191584534868119,0.05447920957549575,1.5741189305897274,0.3754249791744488,0.033372268078688865,5695.1531682014465
0,0.011624006272624034,2048,500,0.8411301054355614,0.6891025641025641,0.5851271656197226,0.9056736576798663,0.29092318730224737,0.26676308765861,0.26676308765861,0.1630646253897208,1.1157352603360442,0.2314457002656317,0.011601324083703032,5226.121149778366
0,0.00013413218712252046,512,500,0.8581226328180981,0.6744950681070925,0.5894856376628435,0.9089450239581994,0.198320413067681,0.15626612193776374,0.15626612193776374,0.08280345270485151,1.0832016967614815,0.18946342470576005,0.011580876714450088,6730.058611869812
0,0.00720957664384723,512,500,0.7522776128569966,0.45224083295608875,0.2937045134490754,0.7487714024355698,0.16871909527865253,0.2725036157871979,0.2725036157871979,0.09293013390575096,2.667139837011766,1.6613893679260532,0.30798944676143203,6816.5803191661835
0,0.00017123553109627275,512,500,0.8482956290306071,0.6814273430782459,0.5818848442746495,0.9075903078800205,0.2554724289280663,0.22023797098423964,0.22023797098423964,0.13469733164974604,1.0533158128061126,0.15269676497194326,0.010727973081838609,6793.167974233627
0,0.012624210995423636,1024,500,0.8545398710205753,0.6545100899586677,0.5730790329905059,0.904120479827256,0.21020756205411947,0.29947813380649196,0.29947813380649196,0.08156874895766672,1.1262154752722817,0.2519806600658168,0.016041917862925813,5785.064177513123
0,0.0002607186693162474,2048,500,0.8489098167673252,0.6856899488926746,0.5862564568919,0.9074021520695066,0.237519962100808,0.17000313119716115,0.17000313119716115,0.11896351869845541,1.0395574584030982,0.14639861680694305,0.009321780885682014,5155.986304283142
0,0.0029161158763741303,512,500,0.8007984440577336,0.6028571428571429,0.47118512123564427,0.8515657350075285,0.3583065474167371,0.577471781949394,0.577471781949394,0.22508220334401544,2.1212271373858855,1.2865167912649647,0.12696517570081636,6643.444021463394
0,6.377001711164565e-05,512,500,0.8553587880028662,0.6644502493469485,0.5793567616431451,0.9046833351527102,0.20744595166596314,0.20050695573083627,0.20050695573083627,0.09027682460225403,1.090023150163903,0.1525759106920431,0.011789205258200812,6712.899512290955
0,0.0013449859957042477,2048,500,0.8541304125294298,0.6788370520622042,0.586219712978087,0.9070441781552256,0.2255530313546124,0.19471573202916487,0.19471573202916487,0.10608113961924756,1.060900295278036,0.16698761150726338,0.010884745398728619,5158.478619337082
0,0.02724089356096381,1024,500,0.8454294195925888,0.6675473359753412,0.5673712566546296,0.8955899628893179,0.24757284465006177,0.2624330892987609,0.2624330892987609,0.12402284481034831,1.1373249533855505,0.1868319442773976,0.01383548573999338,5765.522775888443
