,batch_size,epochs,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,16,100,0.735,0.5391304347826087,0.3543178312491844,0.7633333333333333,0.04945054945054947,0.108843537414966,0.0982142857142857,0.108843537414966,2.465473562703131,0.20174082326037945,0.01694346010926928,357.4228117465973
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,149.65897750854492
0,16,100,0.74,0.5185185185185185,0.3474456257081473,0.7657142857142858,0.017582417582417603,0.20535714285714285,0.20535714285714285,0.0,2.420470793847068,0.16508729666641922,0.016717722556630843,216.96960639953613
0,16,100,0.74,0.5185185185185185,0.3474456257081473,0.7657142857142858,0.017582417582417603,0.20535714285714285,0.20535714285714285,0.0,2.420470793847068,0.16508729666641922,0.016717722556630843,191.13117933273315
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,129.41326689720154
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,136.9061279296875
0,16,100,0.74,0.5185185185185185,0.3474456257081473,0.7657142857142858,0.017582417582417603,0.20535714285714285,0.20535714285714285,0.0,2.420470793847068,0.16508729666641922,0.016717722556630843,186.7713279724121
0,16,100,0.74,0.5185185185185185,0.3474456257081473,0.7657142857142858,0.017582417582417603,0.20535714285714285,0.20535714285714285,0.0,2.420470793847068,0.16508729666641922,0.016717722556630843,164.67698168754578
0,16,100,0.74,0.5185185185185185,0.3474456257081473,0.7657142857142858,0.017582417582417603,0.20535714285714285,0.20535714285714285,0.0,2.420470793847068,0.16508729666641922,0.016717722556630843,163.2448024749756
0,16,100,0.74,0.5185185185185185,0.3474456257081473,0.7657142857142858,0.017582417582417603,0.20535714285714285,0.20535714285714285,0.0,2.420470793847068,0.16508729666641922,0.016717722556630843,145.70089507102966
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,127.79795360565186
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,130.94088983535767
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,149.45651268959045
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,130.63740921020508
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,130.334308385849
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,139.09906125068665
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,135.22200918197632
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,135.50643253326416
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,132.4919991493225
0,8,100,0.745,0.5714285714285714,0.3899800538280864,0.79,0.05164835164835163,0.017006802721088454,0.008928571428571397,0.017006802721088454,2.590616867364142,1.2866150383616066,0.02276604732424259,151.00429773330688
