,lr,batch_size,epochs,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0015676677195506068,256,500,0.72,0.3488372093023256,0.23359392871314263,0.7628571428571428,0.08571428571428572,0.20089285714285715,0.20089285714285715,0.010204081632653059,3.073800143133843,2.1532109565574795,0.03866947711842794,182.00071167945862
0,0.0015119336467641006,512,500,0.64,0.5135135135135135,0.2549752313143321,0.7033333333333334,0.20219780219780215,0.2857142857142857,0.2857142857142857,0.10204081632653061,3.216090675325555,2.204455015598639,0.19230363334609812,318.9854941368103
0,0.0005627932047415167,512,500,0.705,0.03278688524590164,0.10828339268940694,0.5028571428571429,0.007692307692307693,0.03125,0.03125,0.0,3.0806500707028217,2.0970713616086827,0.04558706983072769,328.55413007736206
0,0.0003417952912061009,256,500,0.705,0.42718446601941745,0.24168388359628817,0.6883333333333334,0.02087912087912086,0.01785714285714285,0.01785714285714285,0.010204081632653073,3.077577063081218,2.0952627719615364,0.05338371038487777,189.6900610923767
0,0.001871450068624067,256,500,0.295,0.42448979591836733,-0.14498627873361333,0.395952380952381,0.2142857142857143,0.2857142857142857,0.2857142857142857,0.16666666666666663,3.5216843870551187,2.8314774868913544,0.061523102591859224,184.89941430091858
0,2.2310905607443014e-05,512,500,0.515,0.3821656050955414,0.01964845391580312,0.4571428571428572,0.19670329670329673,0.33482142857142855,0.33482142857142855,0.1394557823129252,3.3305402695022717,2.6374779390032246,0.04848646362649145,319.99406814575195
0,0.01296065659727973,512,500,0.36,0.47107438016528924,0.09150180217433551,0.5714285714285714,0.1384615384615384,0.15306122448979587,0.09375,0.15306122448979587,3.3798858686893736,2.6138658908776122,0.06722175448207235,335.1820797920227
0,0.015726578854179506,512,500,0.66,0.30612244897959184,0.10012523486435178,0.5969047619047619,0.015384615384615385,0.20089285714285715,0.20089285714285715,0.10544217687074828,3.264077371665145,2.448906378063291,0.06013118095395775,325.80384278297424
0,2.972334644335654e-05,256,500,0.685,0.411214953271028,0.203293175415256,0.6677380952380951,0.27582417582417584,0.3839285714285714,0.3839285714285714,0.1870748299319728,3.2291211517117446,2.4670630233160717,0.028250789825510214,190.05518412590027
0,0.06007249475906202,256,500,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.7943785344257512,2.987263861433294,0.5369343737153454,183.70602321624756
0,0.00016060390703305808,512,500,0.57,0.4027777777777778,0.08400503393723774,0.5595238095238095,0.14505494505494498,0.18707482993197283,0.03125,0.18707482993197283,3.157119483091849,2.36303359738385,0.025780567966859014,92.66893863677979
0,0.0001960320502608681,256,500,0.68,0.42857142857142855,0.20894746626614946,0.7060714285714286,0.048351648351648374,0.14965986394557823,0.05357142857142855,0.14965986394557823,3.138224605990924,2.303257497864342,0.06634937522448325,103.42811036109924
0,0.0053955186175267,512,500,0.31,0.4609375,0.015586992159713741,0.5186904761904763,0.03076923076923077,0.03125,0.03125,0.030612244897959218,3.439216103360602,2.618066043314273,0.18634100291951317,88.99985814094543
0,0.00019509148374964526,256,500,0.71,0.275,0.181848241863327,0.6901190476190476,0.10989010989010989,0.125,0.125,0.0782312925170068,3.039297224503739,2.1865853773803687,0.034095402587307255,105.84423756599426
0,0.000862282185858085,512,500,0.675,0.36893203883495146,0.16200787801509425,0.6115476190476191,0.17692307692307693,0.24489795918367346,0.125,0.24489795918367346,3.2019288048846937,2.39774867718405,0.052540146111187624,87.41395235061646
0,7.103886828073485e-05,256,500,0.645,0.3364485981308411,0.10035992204044283,0.6138095238095238,0.07582417582417583,0.22767857142857142,0.22767857142857142,0.023809523809523808,3.106925886031269,2.376212645829498,0.028912082574776843,104.3970057964325
0,0.002585843570069838,512,500,0.575,0.5029239766081871,0.21296370520716015,0.6729761904761905,0.267032967032967,0.25850340136054417,0.1964285714285714,0.25850340136054417,3.2713295780336336,2.3991723846984234,0.07277603188820603,88.34437203407288
0,0.0004676040935291626,256,500,0.73,0.425531914893617,0.28465769331319807,0.7157142857142856,0.15604395604395602,0.12925170068027209,0.11160714285714285,0.12925170068027209,2.9883977536493234,2.1155042995368802,0.0351874966774135,103.19125127792358
0,0.006986758375386756,512,500,0.68,0.13513513513513514,0.0342105337193857,0.4685714285714285,0.1076923076923077,0.15625,0.15625,0.09183673469387756,3.2689428805993392,2.3193725482314096,0.09370194225091888,88.59890651702881
0,5.7251231062436774e-05,256,500,0.56,0.3333333333333333,0.009092412093166349,0.5276190476190477,0.039560439560439586,0.1517857142857143,0.1517857142857143,0.13605442176870747,3.148512553131968,2.371357483506687,0.02858471068933177,101.77612066268921
