dataset,generator,fold,trial,running_time_s,running_time_min,MCC
adult,ctabgan,0,0,10564.123844623566,176.0687307437261,0.4871619608928649
adult,ctabgan,0,1,5279.371024847031,87.98951708078384,0.5794245892545986
adult,ctabgan,0,2,5579.361009597778,92.98935015996297,0.4931788151235107
adult,ctabgan,0,3,6547.175560235977,109.11959267059962,0.568216605766944
adult,ctabgan,0,4,4988.502434015274,83.1417072335879,0.5277559289529001
adult,ctabgan,0,5,6513.586811542511,108.55978019237519,-0.0853362839441303
adult,ctabgan,0,6,5024.187473058701,83.73645788431168,0.5408145354919137
adult,ctabgan,0,7,5025.160291194916,83.75267151991527,0.5965663584945773
adult,ctabgan,0,8,5033.399683713913,83.88999472856521,0.5600530506787322
adult,ctabgan,0,9,5658.047700166702,94.30079500277837,0.5109862737729529
adult,ctabgan,0,10,5012.956309318543,83.54927182197572,0.3865653115906017
adult,ctabgan,0,11,5014.290365219116,83.57150608698527,0.5610777028788854
adult,ctabgan,0,12,5009.07449054718,83.484574842453,0.5720828086050769
adult,ctabgan,0,13,5008.691487312317,83.47819145520528,0.5721115801574671
adult,ctabgan,0,14,5004.160315036774,83.40267191727956,0.5697002244574992
adult,ctabgan,0,15,5598.362629175186,93.30604381958644,0.559969133848859
adult,ctabgan,0,16,5008.681311368942,83.47802185614904,0.5774162975426023
adult,ctabgan,0,17,5003.680093050003,83.39466821750005,0.5523302970561298
adult,ctabgan,0,18,5549.040735006332,92.48401225010554,0.3785747196913772
adult,ctabgan,0,19,6566.290930747986,109.4381821791331,0.5885942289421905
adult,ctabgan,1,0,6789.89742565155,113.1649570941925,0.5908717006688278
adult,ctabgan,1,1,5066.578093290329,84.44296822150548,0.5757781092970792
adult,ctabgan,1,2,5644.976311922073,94.08293853203456,0.1727360350075921
adult,ctabgan,1,3,6585.845475912094,109.76409126520157,0.5721634708488021
adult,ctabgan,1,4,5061.4788637161255,84.35798106193542,0.5238911736008913
adult,ctabgan,1,5,8316.341984987259,138.60569974978765,0.0399142122041579
adult,ctabgan,1,6,5199.84854054451,86.6641423424085,0.5363936171596848
adult,ctabgan,1,7,5215.120533943176,86.91867556571961,0.5973616284300803
adult,ctabgan,1,8,5198.790397167206,86.64650661945343,0.5730620922637956
adult,ctabgan,1,9,5695.153168201447,94.91921947002412,0.30537977168119
adult,ctabgan,1,10,5226.121149778366,87.10201916297277,0.5851271656197226
adult,ctabgan,1,11,6730.058611869812,112.16764353116353,0.5894856376628435
adult,ctabgan,1,12,6816.580319166184,113.60967198610307,0.2937045134490754
adult,ctabgan,1,13,6793.167974233627,113.21946623722712,0.5818848442746495
adult,ctabgan,1,14,5785.064177513123,96.41773629188538,0.5730790329905059
adult,ctabgan,1,15,5155.986304283142,85.9331050713857,0.5862564568919
adult,ctabgan,1,16,6643.444021463394,110.7240670243899,0.4711851212356442
adult,ctabgan,1,17,6712.899512290955,111.88165853818258,0.5793567616431451
adult,ctabgan,1,18,5158.478619337082,85.97464365561804,0.586219712978087
adult,ctabgan,1,19,5765.522775888443,96.09204626480738,0.5673712566546296
adult,ctabgan,2,0,6561.141419172287,109.35235698620478,0.5475590643210196
adult,ctabgan,2,1,5053.751874685288,84.22919791142148,0.5873731025039564
adult,ctabgan,2,2,5659.242050170898,94.32070083618164,0.2534378824733856
adult,ctabgan,2,3,6885.559256315231,114.7593209385872,0.5872952228429293
adult,ctabgan,2,4,5184.04469537735,86.40074492295584,0.517579999392425
adult,ctabgan,2,5,6793.597582817078,113.22662638028463,0.2890934621880612
adult,ctabgan,2,6,5055.230813026428,84.2538468837738,0.5608307279050714
adult,ctabgan,2,7,4998.378814935684,83.30631358226141,0.4607585308901965
adult,ctabgan,2,8,5065.2478659152985,84.42079776525497,0.5896566880581912
adult,ctabgan,2,9,5617.74175620079,93.62902927001318,0.5846664241872231
adult,ctabgan,2,10,4987.117574453354,83.11862624088923,0.462920809479647
adult,ctabgan,2,11,5060.271896123886,84.3378649353981,0.6010131800485573
adult,ctabgan,2,12,4979.234888315201,82.98724813858668,0.4555358263680585
adult,ctabgan,2,13,5046.952376842499,84.11587294737498,0.5839288657090949
adult,ctabgan,2,14,5065.767021417618,84.4294503569603,0.5888092108869344
adult,ctabgan,2,15,5703.6192128658295,95.06032021443049,0.5996654377210696
adult,ctabgan,2,16,5757.859760284424,95.96432933807372,0.5693902347493122
adult,ctabgan,2,17,5614.914506435394,93.5819084405899,0.3854359705536152
adult,ctabgan,2,18,5695.119166135788,94.9186527689298,0.5675765835338172
adult,ctabgan,2,19,5793.95080780983,96.5658467968305,0.5587068315964527
adult,ctabgan,3,0,6688.105616569519,111.46842694282532,0.533223803541159
adult,ctabgan,3,1,5031.45728802681,83.85762146711349,0.543760485815128
adult,ctabgan,3,2,5622.880141019821,93.71466901699702,0.0
adult,ctabgan,3,3,6587.758626461029,109.79597710768381,0.5524526308455197
adult,ctabgan,3,4,5085.276236534119,84.7546039422353,0.5129589883963742
adult,ctabgan,3,5,6624.272157669067,110.40453596115113,0.47026745557675
adult,ctabgan,3,6,5084.202919244766,84.7367153207461,0.5625427242773731
adult,ctabgan,3,7,5031.421850204468,83.85703083674113,0.5317464987999713
adult,ctabgan,3,8,5087.741669416428,84.79569449027379,0.6049714972137946
adult,ctabgan,3,9,5688.384532690048,94.80640887816747,0.6057711593387152
adult,ctabgan,3,10,5717.213176488876,95.2868862748146,0.5882323231437249
adult,ctabgan,3,11,5739.300590753555,95.6550098458926,0.6043371898751086
adult,ctabgan,3,12,5744.179348230362,95.73632247050604,0.5958688688405896
adult,ctabgan,3,13,5169.460638046265,86.15767730077108,0.6030715489947142
adult,ctabgan,3,14,5757.591496944428,95.95985828240714,0.5905566337670184
adult,ctabgan,3,15,5093.605704307556,84.89342840512593,0.5018591641251392
adult,ctabgan,4,0,6482.535920381546,108.04226533969243,0.5517617091555533
adult,ctabgan,4,1,5157.545207738876,85.95908679564793,0.5931310543223998
adult,ctabgan,4,2,5634.774822473526,93.9129137078921,0.0956204391757537
adult,ctabgan,4,3,6581.574514865875,109.69290858109792,0.508760349686868
adult,ctabgan,4,4,5199.377241134644,86.65628735224406,0.5123112282512224
adult,ctabgan,4,5,6608.331141471863,110.13885235786438,0.1951202691212441
adult,ctabgan,4,6,5205.330573320389,86.75550955533981,0.5528298660969718
adult,ctabgan,4,7,5116.077140331268,85.26795233885447,0.5213599307299279
adult,ctabgan,4,8,5187.874767541885,86.46457945903143,0.5498043815655018
adult,ctabgan,4,9,5746.409528255463,95.77349213759105,0.5632094996631782
adult,ctabgan,4,10,5155.761962413788,85.9293660402298,0.5804336229805812
adult,ctabgan,4,11,5156.091506719589,85.93485844532648,0.5597904328700357
adult,ctabgan,4,12,5082.260625839233,84.70434376398723,0.5281428209307796
adult,ctabgan,4,13,5161.853693723679,86.03089489539464,0.5673021448103268
adult,ctabgan,4,14,5073.866580486298,84.56444300810496,0.322322849601294
adult,ctabgan,4,15,5720.619106769562,95.3436517794927,0.5902282141232916
adult,ctabgan,4,16,5699.637286186218,94.9939547697703,0.5833287944176531
adult,ctabgan,4,17,5710.791219949722,95.1798536658287,0.6094037498322491
adult,ctabgan,4,18,5707.265211105347,95.12108685175578,0.5903792625413096
adult,ctabgan,4,19,5687.825779676437,94.79709632794062,0.575043330296644
adult,ctgan,0,0,17799.570362091064,296.65950603485106,0.5576957500045124
adult,ctgan,0,1,6973.157599210739,116.21929332017899,0.3833849770276592
adult,ctgan,0,2,7645.04257273674,127.417376212279,0.433260534547312
adult,ctgan,0,3,5858.311886072159,97.63853143453598,0.4521080355552646
adult,ctgan,0,4,9505.065507888794,158.41775846481323,0.4967408179069992
adult,ctgan,0,5,12716.626610279083,211.94377683798473,0.4701752995171213
adult,ctgan,0,6,8343.010700702667,139.05017834504446,0.3480461393951332
adult,ctgan,0,7,6215.651923656464,103.59419872760773,0.5318449571879761
adult,ctgan,0,8,2861.4156386852264,47.69026064475377,0.0298191741661396
adult,ctgan,0,9,4263.188244819641,71.05313741366068,0.4237171322020781
adult,ctgan,0,10,5514.328666448593,91.90547777414322,0.5464963585955785
adult,ctgan,0,11,5546.069551467896,92.43449252446494,0.521305013899607
adult,ctgan,0,12,5412.769961118698,90.21283268531164,0.5402845513389879
adult,ctgan,0,13,4964.77534031868,82.74625567197799,0.5180476577920988
adult,ctgan,0,14,6124.3708319664,102.07284719944,0.5091433837560104
adult,ctgan,0,15,5293.260112047195,88.22100186745325,0.5628840653492595
adult,ctgan,0,16,4800.654341220856,80.01090568701426,0.5450986010315069
adult,ctgan,0,17,6970.224540233612,116.17040900389354,0.4753119967327475
adult,ctgan,0,18,5701.676273584366,95.02793789307276,0.4963494383502685
adult,ctgan,0,19,5781.031461954117,96.35052436590195,0.5443759001249208
adult,ctgan,1,0,6609.174264431,110.15290440718333,0.5267370674347708
adult,ctgan,1,1,3195.1442127227783,53.252403545379636,0.3690307378733224
adult,ctgan,1,2,3600.4162771701813,60.00693795283635,0.5108752954110396
adult,ctgan,1,3,2166.333143234253,36.10555238723755,0.4770946383286714
adult,ctgan,1,4,3780.4024963378906,63.00670827229818,0.5234310909761692
adult,ctgan,1,5,5852.268450260162,97.53780750433604,0.4728018779291945
adult,ctgan,1,6,6386.941672563553,106.44902787605922,0.4181556095027991
adult,ctgan,1,7,4910.990910291672,81.8498485048612,0.5206377389745023
adult,ctgan,1,8,1919.9245371818545,31.99874228636424,0.3915254137277307
adult,ctgan,1,9,2500.296402692795,41.67160671154658,0.3684409730742681
adult,ctgan,1,10,3658.619497060776,60.9769916176796,0.535041878888821
adult,ctgan,1,11,3707.070692539215,61.78451154232025,0.4608322721280943
adult,ctgan,1,12,3893.163353204727,64.88605588674545,0.5421975879269959
adult,ctgan,1,13,3668.250628948212,61.137510482470205,0.4852997160450528
adult,ctgan,1,14,2245.89856505394,37.431642750898995,0.3497022121543371
adult,ctgan,1,15,2781.7923493385315,46.363205822308856,0.5344776844303698
adult,ctgan,1,16,2585.4194898605347,43.090324831008914,0.5585750251778344
adult,ctgan,1,17,2536.673954963684,42.277899249394736,0.4956298069305727
adult,ctgan,1,18,1911.160599946976,31.852676665782933,0.5060027808257006
adult,ctgan,1,19,2025.9263598918917,33.76543933153153,0.5251151006551154
adult,ctgan,2,0,7018.266285657883,116.9711047609647,0.4902813230136469
adult,ctgan,2,1,3298.9827218055725,54.98304536342621,0.4628961580489873
adult,ctgan,2,2,3839.099822282791,63.98499703804652,0.532606666438376
adult,ctgan,2,3,2388.634906053543,39.81058176755905,0.4119311655167471
adult,ctgan,2,4,3989.4705765247354,66.49117627541226,0.5532115603546341
adult,ctgan,2,5,6391.320781469345,106.52201302448908,0.5553890199669125
adult,ctgan,2,6,6823.677390813828,113.72795651356381,0.4998295664037163
adult,ctgan,2,7,5515.959593772888,91.9326598962148,0.5281111589683338
adult,ctgan,2,8,2173.3160083293915,36.22193347215652,0.4570052910387896
adult,ctgan,2,9,2992.669507741928,49.87782512903213,0.5182839992443203
adult,ctgan,2,10,3234.427369117737,53.90712281862895,0.5653240289328892
adult,ctgan,2,11,3204.416722536087,53.40694537560145,0.5361100321386911
adult,ctgan,2,12,3109.685625553131,51.82809375921885,0.5406325254270944
adult,ctgan,2,13,2140.573310136795,35.67622183561325,0.5475002223892108
adult,ctgan,2,14,4815.69140458107,80.2615234096845,0.5061343176306563
adult,ctgan,2,15,2700.9823985099792,45.01637330849965,0.5298335095570508
adult,ctgan,2,16,1257.358924150467,20.95598206917445,0.5510613045157287
adult,ctgan,2,17,4067.285141468048,67.78808569113413,0.552097794029713
adult,ctgan,2,18,3164.918731689453,52.74864552815755,0.4683375934920933
adult,ctgan,2,19,1665.6181106567385,27.760301844278974,0.5336441856359093
adult,ctgan,3,0,7024.447122097015,117.07411870161692,0.5702626766889117
adult,ctgan,3,1,3124.3634810447693,52.07272468407949,0.4477322536941677
adult,ctgan,3,2,3751.4966955184937,62.524944925308226,0.5195014487930872
adult,ctgan,3,3,2473.905273914337,41.23175456523895,0.5324957843512684
adult,ctgan,3,4,3751.425817012787,62.52376361687978,0.5548227557540178
adult,ctgan,3,5,6316.171631336212,105.26952718893686,0.5172596234031357
adult,ctgan,3,6,6646.406288862228,110.7734381477038,0.5141257437510488
adult,ctgan,3,7,5378.076372385025,89.63460620641709,0.5187472069196006
adult,ctgan,3,8,2221.506774187088,37.025112903118135,0.4526931271680552
adult,ctgan,3,9,3063.6173145771027,51.060288576285046,0.5166020026109726
adult,ctgan,3,10,4439.832097768784,73.99720162947973,0.4188630586671803
adult,ctgan,3,11,5213.708979845047,86.89514966408412,0.5300265174107645
adult,ctgan,3,12,4789.316725969315,79.8219454328219,0.570316254159574
adult,ctgan,3,13,4216.628337144852,70.27713895241419,0.5457946060413984
adult,ctgan,3,14,7310.212224960327,121.83687041600545,0.5623164986729429
adult,ctgan,3,15,3735.9067029953,62.26511171658833,0.5411765859131178
adult,ctgan,3,16,2115.498054742813,35.25830091238022,0.561416014132599
adult,ctgan,3,17,3879.699146747589,64.66165244579315,0.5029773299924857
adult,ctgan,3,18,3777.389597892761,62.95649329821268,0.4531965264693181
adult,ctgan,3,19,5272.999093055725,87.88331821759542,0.4650489478804446
adult,ctgan,4,0,5176.824017763138,86.28040029605229,0.5367370340633184
adult,ctgan,4,1,2142.0208654403687,35.70034775733948,0.5283295938636522
adult,ctgan,4,2,2243.0336430072784,37.383894050121306,0.5398321125694299
adult,ctgan,4,3,1675.7317583560944,27.92886263926824,0.4338514886809325
adult,ctgan,4,4,2877.3793110847478,47.95632185141246,0.5376500661943866
adult,ctgan,4,5,4276.9087653160095,71.28181275526683,0.516279920669
adult,ctgan,4,6,4413.216419458389,73.55360699097315,0.4801901872870323
adult,ctgan,4,7,3558.852548599243,59.31420914332072,0.5264028766193153
adult,ctgan,4,8,1409.113923072815,23.485232051213583,0.3196159939694125
adult,ctgan,4,9,1819.1504714488983,30.319174524148305,0.4931105249367736
adult,ctgan,4,10,1300.4160044193268,21.673600073655447,0.5536810259800286
adult,ctgan,4,11,1302.0585873126984,21.700976455211638,0.5298461589734091
adult,ctgan,4,12,1611.865050792694,26.864417513211567,0.5475398836917423
adult,ctgan,4,13,1678.1129357814789,27.968548929691316,0.5325506652696005
adult,ctgan,4,14,1269.8205168247223,21.16367528041204,0.4996514420428762
adult,ctgan,4,15,1444.439398765564,24.073989979426067,0.5405513239823644
adult,ctgan,4,16,1845.0733263492584,30.751222105820975,0.5502667970583476
adult,ctgan,4,17,1750.9627559185028,29.182712598641714,0.4861908064105844
adult,ctgan,4,18,1952.9664702415464,32.54944117069244,0.4710341632753962
adult,ctgan,4,19,1921.054668188095,32.01757780313492,0.5203412740434475
adult,ddpm,0,0,2933.89377784729,48.898229630788165,0.5690906659147716
adult,ddpm,0,1,2972.2148032188416,49.53691338698069,0.5661342602036195
adult,ddpm,0,2,4024.85274720192,67.080879120032,0.5772183519948864
adult,ddpm,0,3,1625.7973446846008,27.096622411410014,0.5809604180805779
adult,ddpm,0,4,1517.4881598949432,25.291469331582388,0.4824878788970994
