dataset,generator,fold,n_trials,trial_time_mean_s,trial_time_median_s,trial_time_min_s,trial_time_max_s,total_tuning_time_s,best_trial_time_s
compas,ctgan,1,20,2633.2165219426156,2329.6066451072693,642.3100457191467,6066.6066834926605,52664.33043885231,4573.417881011963
compas,ctgan,2,20,1633.1663962244988,1252.628980755806,680.3973207473755,3961.549579620361,32663.327924489975,1077.9653205871582
compas,ctgan,3,20,348.5929942369461,301.7001039981842,207.2578535079956,605.6031680107117,6971.859884738922,257.0282912254333
compas,ctgan,4,20,392.78693505525587,385.0709751844406,211.3900754451752,645.5067825317383,7855.738701105118,645.5067825317383
compas,ddpm,0,20,2646.844412851334,1392.8017942905426,430.6293730735779,9497.407075166702,52936.88825702667,1437.1426820755005
compas,ddpm,1,20,2737.310624110699,1460.9357026815414,427.9593691825866,12715.787854671478,54746.212482213974,1408.408433675766
compas,ddpm,2,20,2344.2913313984873,1534.3634012937546,684.6497843265533,7879.489204645157,46885.82662796974,5310.97824883461
compas,ddpm,3,20,982.6259355187416,1188.8013067245483,333.70625162124634,1544.7688472270966,19652.518710374832,1288.3695180416107
compas,ddpm,4,20,861.0402853012085,801.899099111557,312.1838138103485,1537.3186371326449,17220.80570602417,1402.231874704361
compas,realtabformer,0,5,361.98582162857053,397.4740986824036,198.17541480064392,521.4625728130341,1809.9291081428528,521.4625728130341
compas,realtabformer,1,20,910.5419883370399,867.8377628326416,763.5357456207275,1135.3412382602692,18210.8397667408,858.0854613780975
compas,realtabformer,2,20,917.3468458771706,1083.7541571855545,417.6164047718048,1321.1073627471924,18346.93691754341,1321.1073627471924
compas,realtabformer,3,20,935.2741865396499,988.285294175148,763.8045053482056,1077.1462490558624,18705.483730793,1077.1462490558624
compas,realtabformer,4,20,579.8030952692031,491.66064620018005,454.1434891223908,895.1494710445404,11596.061905384064,518.5134408473969
compas,tvae,0,20,1144.5501074671745,1270.8284525871277,564.91796708107,1530.489057302475,22891.00214934349,1450.7989435195925
compas,tvae,1,20,1097.2050788521767,867.7713398933411,698.6420221328735,1814.4240128993988,21944.101577043533,866.713184595108
compas,tvae,2,20,711.4123335242272,770.3033410310745,322.5555872917176,868.6888782978058,14228.246670484543,400.76800417900085
compas,tvae,3,20,139.00390536785125,140.05818164348602,95.37275195121764,179.76208353042605,2780.078107357025,149.4601833820343
compas,tvae,4,20,149.11967495679855,148.57389223575592,85.99280834197998,240.9172575473785,2982.393499135971,148.83589363098145
german,arf,0,20,68.94152908325195,52.35213220119476,22.00339102745056,162.00357174873352,1378.830581665039,89.22322869300842
german,arf,1,20,7.7435234665870665,6.34996223449707,3.3949577808380127,17.095993757247925,154.87046933174133,5.169938087463379
german,arf,2,20,15.63998407125473,17.45981478691101,4.520108461380005,28.813968420028687,312.7996814250946,28.813968420028687
german,arf,3,20,9.48082767724991,9.926652193069458,3.865634679794312,13.78058671951294,189.61655354499817,12.18095564842224
german,arf,4,20,12.316802144050598,11.530759572982788,5.664817333221436,18.69851565361023,246.33604288101196,17.236361026763916
german,ctabgan,0,5,1184.8298431873322,1232.506381034851,979.2219924926758,1422.206814289093,5924.149215936661,979.2219924926758
german,ctabgan,1,20,176.17668813467026,143.92247462272644,87.41395235061646,335.1820797920227,3523.533762693405,103.19125127792358
german,ctabgan,2,20,137.5510424733162,129.18647277355194,80.39550733566284,213.93406891822812,2751.020849466324,82.62010383605957
german,ctabgan,3,20,86.61664420366287,85.26715385913849,51.05671787261963,139.5605125427246,1732.3328840732574,84.21548247337341
german,ctabgan,4,20,149.85182945728303,143.18532073497772,97.77547240257265,213.79260540008545,2997.0365891456604,116.39716386795044
german,ctgan,0,20,289.74482598304746,275.4896330833435,142.17893028259277,461.3546826839447,5794.89651966095,451.4077105522156
german,ctgan,1,20,245.48018596172332,251.63343214988708,162.00484251976013,310.124279499054,4909.603719234467,267.9102845191956
