dataset,generator,p_y1_mean,p_y1_std,p_y0_mean,p_y0_std,p_s_protected_mean,p_s_protected_std,p_s_privileged_mean,p_s_privileged_std,p_s0_y0_mean,p_s0_y0_std,p_s0_y1_mean,p_s0_y1_std,p_s1_y0_mean,p_s1_y0_std,p_s1_y1_mean,p_s1_y1_std,n_mean,n_std
bank_marketing,ddpm,0.10399616603996167,0.003316518529877889,0.8960038339600385,0.003316518529877924,0.04281501142815011,0.004661462315461173,0.95718498857185,0.004661462315461132,0.866084199660842,0.007598331785175615,0.0911007889110079,0.003198280467014659,0.029919634299196345,0.0045798439098406404,0.012895377128953773,0.00037359363150212276,27126.0,0.0
bank_marketing,real_train,0.11698001916980019,1.64865293629703e-05,0.8830199808301998,1.648652936296713e-05,0.05705964757059647,0.0009392982174557883,0.9429403524294034,0.0009392982174557937,0.8435891764358917,0.0009110206109669868,0.09935117599351176,0.0004454414942709777,0.039430804394308044,0.0009099757766301323,0.017628843176288433,0.00043259471832797876,27126.0,0.0
bank_marketing,realtabformer,0.13410012534100124,0.02363135089990349,0.8658998746589986,0.023631350899903505,0.046398289463982896,0.00546097465295343,0.9536017105360172,0.005460974652953409,0.8369903413699035,0.02446144035741455,0.1166113691661137,0.020140682749133956,0.028909533289095336,0.0027455640597826066,0.01748875617488756,0.0036407430906331075,27126.0,0.0
bank_marketing,tvae,0.12528201725282018,0.024219724485234507,0.8747179827471798,0.024219724485234535,0.04193762441937625,0.002682875571476232,0.9580623755806238,0.002682875571476231,0.8496571554965715,0.021867990706871326,0.1084052200840522,0.022985284863533798,0.025060827250608275,0.0026288648630138074,0.01687679716876797,0.0022173309423524565,27126.0,0.0
compas,arf,0.47779675737161875,0.005843270094702357,0.5222032426283812,0.0058432700947023165,0.6595352817626384,0.005418796527860715,0.3404647182373615,0.0054187965278607525,0.19500031810567856,0.00615999449552131,0.14546440013168294,0.003599511457035559,0.3272029245227027,0.0017612285142648183,0.3323323572399358,0.0060229299566153605,4328.2,0.4472135955000088
compas,ctabgan,0.5497358868893064,0.11243641834467541,0.4502641131106936,0.11243641834467542,0.7415055429380752,0.048423940699268565,0.2584944570619247,0.048423940699268586,0.1395070280005585,0.05438563123915401,0.11898742906136621,0.025590877068561505,0.310757085110135,0.06027913704866011,0.43074845782794025,0.10477276763080133,4328.2,0.4472135955000088
compas,ctgan,0.4850521287674708,0.017234265073186844,0.5149478712325293,0.017234265073186816,0.6689615429449071,0.02241217966385628,0.33103845705509294,0.022412179663856287,0.1850653440302239,0.015475650654226928,0.145973113024869,0.008196596403672563,0.3298825272023054,0.009148156706843468,0.3390790157426017,0.021795340161131715,4328.2,0.4472135955000088
compas,ddpm,0.4822327410589887,0.0036006177427799903,0.5177672589410113,0.0036006177427799616,0.6592117213189301,0.007721616652965131,0.3407882786810698,0.007721616652965157,0.19093409490821692,0.008169651726894177,0.1498541837728529,0.0057295153100884655,0.32683316403279433,0.006597291657653774,0.33237855728613586,0.005740982862796034,4328.2,0.4472135955000088
compas,real_train,0.4507185452194694,0.0001021755010151274,0.5492814547805305,0.00010217550101515802,0.6588883423449043,0.007073901492471525,0.3411116576550957,0.007073901492471524,0.2086318189368097,0.004749414617869515,0.13247983871828603,0.0035807532393651326,0.3406496358437209,0.0047653432819313515,0.3182387065011834,0.003574973317452499,4328.2,0.4472135955000088
compas,realtabformer,0.4184625867158214,0.04508308957741052,0.5815374132841786,0.04508308957741052,0.6733956692367044,0.04003190141058485,0.32660433076329565,0.040031901410584846,0.21325499393891262,0.03290018317098904,0.11334933682438304,0.022191340800469975,0.36828241934526595,0.029412718116626508,0.30511324989143845,0.038506591988981834,4328.2,0.4472135955000088
compas,tvae,0.4787682179549092,0.015410335604367643,0.5212317820450908,0.015410335604367659,0.6633714120775119,0.03074527830760133,0.33662858792248807,0.03074527830760134,0.19023934356651545,0.027036030308775418,0.14638924435597264,0.018180187056297436,0.3309924384785753,0.015898157532461522,0.33237897359893664,0.0246562538752455,4328.2,0.4472135955000088
german,arf,0.29366666666666663,0.01138956637551329,0.7063333333333333,0.011389566375513301,0.2963333333333333,0.025396850198400572,0.7036666666666667,0.025396850198400604,0.5046666666666667,0.014925742118158721,0.199,0.018204089894550867,0.20166666666666666,0.019543398999264293,0.09466666666666666,0.009159087776022722,600.0,0.0
german,ctabgan,0.23366666666666663,0.0751147270661501,0.7663333333333333,0.07511472706615008,0.253,0.09625198410653386,0.747,0.09625198410653384,0.5923333333333333,0.12295889105261516,0.15466666666666667,0.0648866533100435,0.174,0.0631532527533882,0.079,0.04004511344859833,600.0,0.0
german,ctgan,0.34500000000000003,0.03580425176490139,0.655,0.0358042517649014,0.329,0.04421538193886829,0.671,0.04421538193886828,0.45133333333333336,0.028047578623950156,0.21966666666666668,0.03306979151901492,0.20366666666666666,0.025038858688934774,0.12533333333333335,0.032668367302670975,600.0,0.0
german,ddpm,0.27066666666666667,0.03150396800404672,0.7293333333333334,0.03150396800404671,0.36500000000000005,0.040739688538601056,0.635,0.04073968853860101,0.4756666666666667,0.047530691838712676,0.15933333333333333,0.017384539747207068,0.25366666666666665,0.055457691581561115,0.11133333333333333,0.04535967372016691,600.0,0.0
german,real_train,0.3,0.0,0.7,0.0,0.304,0.016355427233796144,0.696,0.01635542723379615,0.5003333333333334,0.011143009766964519,0.19566666666666666,0.007416198487095674,0.19966666666666666,0.011143009766964525,0.10433333333333335,0.007416198487095663,600.0,0.0
german,realtabformer,0.32333333333333336,0.041365578819969516,0.6766666666666666,0.04136557881996957,0.2853333333333333,0.05084562692875149,0.7146666666666667,0.05084562692875149,0.49399999999999994,0.03001388567535587,0.22066666666666665,0.0392215926924613,0.18266666666666667,0.024284196964738658,0.10266666666666666,0.04192586048941366,600.0,0.0
german,tvae,0.33199999999999996,0.014013882006385264,0.6679999999999999,0.014013882006385257,0.2876666666666666,0.06274507506127029,0.7123333333333333,0.06274507506127032,0.49066666666666664,0.030700162866017507,0.22166666666666668,0.037969285832981724,0.17733333333333334,0.034391536426536376,0.11033333333333332,0.03028567684933296,600.0,0.0
