dataset,generator,folds,n_trials_total,trial_time_mean_s,trial_time_median_s,trial_time_min_s,trial_time_max_s,total_tuning_time_s,best_trial_time_mean_s,total_tuning_time_h
adult,arf,5,90,657.35541025877,588.7084517478943,91.920156955719,2395.596857309341,53688.97165250778,757.0124557495117,14.913603236807717
adult,ctabgan,5,96,5663.951109213829,5446.956519031524,4979.234888315201,10564.123844623566,543956.8979232311,5339.94569478035,151.09913831200865
adult,ctgan,5,100,4161.900344872474,3663.4299211263656,1257.358924150467,17799.570362091064,416190.03448724747,3440.567940282822,115.60834291312429
adult,ddpm,5,100,2844.5378646397594,2696.1602025985717,1486.237910747528,5939.50045466423,284453.7864639759,2756.8352748394013,79.01494068443775
adult,realtabformer,5,25,2616.482063045502,2245.6894837379455,1399.2865443229675,3797.107605934143,65412.05157613754,2438.7332479953766,18.170014326704873
adult,tvae,5,100,1564.7216699695587,1286.9920045614242,662.2826159000397,4465.651597499847,156472.16699695587,1321.1208657741547,43.46449083248774
bank_marketing,arf,5,90,361.4074363398552,286.5035161972046,59.88406705856323,881.736124753952,32395.93701338768,421.15385313034056,8.99887139260769
bank_marketing,ctabgan,5,81,6238.552312541008,6332.946529865265,2567.795491218567,11355.63661980629,408098.1354777813,6272.666175556183,113.36059318827259
bank_marketing,ctgan,5,100,3439.0432025170326,3193.252705645561,1244.203649520874,9834.518679141998,343904.32025170326,3544.367177772522,95.52897784769534
bank_marketing,ddpm,5,100,3250.891484508514,3610.3112811088563,1347.970295906067,16486.699256420135,325089.14845085144,4537.644517755509,90.30254123634762
bank_marketing,realtabformer,5,25,2321.6956814193727,2037.817407464981,1531.3729598522186,3408.9632229804997,58042.392035484314,2696.8140392780306,16.12288667652342
bank_marketing,tvae,5,100,1004.8948932433128,1058.761817598343,549.2683737277985,3498.01340341568,100489.48932433128,960.4818766593933,27.913747034536467
compas,arf,5,100,49.5479889178276,48.14365406036377,16.216449737548828,200.75849866867063,4954.798891782761,41.01854019165039,1.3763330254952113
compas,ctabgan,5,82,1205.361472761631,1142.029499411583,137.5600094795227,6187.238637685776,51951.33867621422,761.4736097335815,14.430927410059505
compas,ctgan,5,100,1448.7033524370195,1153.6169986248017,207.2578535079956,6996.705439090729,144870.33524370193,1517.42896027565,40.241759789917204
compas,ddpm,5,100,1914.422517836094,1275.7602608203888,312.1838138103485,12715.787854671478,191442.2517836094,2169.4261514663694,53.17840327322483
compas,realtabformer,5,85,740.9903875303269,765.8023918151855,198.17541480064392,1321.1073627471924,68669.25142860413,859.2630173683167,19.074792063501146
compas,tvae,5,100,648.2582200336457,639.507041478157,85.99280834197998,1814.4240128993988,64825.82200336456,603.3152418613433,18.007172778712377
german,arf,5,100,22.824533288478854,19.52386419773102,3.3949577808380127,162.00357174873352,2282.453328847885,30.52489037513733,0.634014813568857
german,ctabgan,5,85,347.0052094912529,346.81356060504913,51.05671787261963,1422.206814289093,16928.073301315308,273.12919878959656,4.7022425836986965
german,ctgan,5,120,269.95298163414,268.4024081707001,139.1976900100708,509.8220779895783,32495.508010149002,310.6230826854706,9.026530002819166
german,ddpm,5,100,676.0094704866409,610.5886232614517,307.5562188625336,4730.779084682465,67600.9470486641,1317.0765705108643,18.778040846851138
german,realtabformer,5,85,477.5152320051193,487.97040190696714,127.79795360565186,1353.7547941207886,45697.36311674118,467.69882345199585,12.69371197687255
german,tvae,5,110,197.24256428956986,209.01744236946107,27.39972424507141,591.4942307472229,17214.33105301857,153.37986278533936,4.781758625838492
